date,idl_vol
2020-05-28,248.2
2020-06-01,125.84
2020-06-05,75.76
2020-06-10,339.92
2020-06-15,414.73
2020-06-20,0.0
2020-06-25,517.4
2020-07-01,0.0
2020-07-10,171.68
2020-07-15,82.7
2020-07-20,52.22
2020-07-28,216.56
2020-08-05,342.65
2020-08-10,253.46
2020-08-20,50.91
2020-08-25,177.42
2020-08-28,130.51
2020-09-01,49.24
2020-09-10,102.02
2020-09-15,83.19
