REGN;C1_2;C2_2
1;Ар1.0;128465905,00
1;Ар1.1;128465905,00
1;Ар1.2;128465905,00
1;Ар2.0;30467502,00
1;Ар2.1;30467502,00
1;Ар2.2;30467502,00
1;Ар3.0;197010,00
1;Ар3.1;197010,00
1;Ар3.2;197010,00
1;Ар4.0;802100547,00
1;Ар4.1;793113526,00
1;Ар4.2;793113526,00
1;Ар5.0;1302,00
1;Ар5.1;1302,00
1;Ар5.2;1302,00
1;Ариск0;128465905,00
1;БК;19660550,00
1;Кф;1,00
1;Кинс;7200101,00
1;Крд;443400932,00
1;КРФмп0;0,00
1;КРФрп0;0,00
1;КРФсп0;0,00
1;КРФмп1;0,00
1;КРФрп1;0,00
1;КРФсп1;0,00
1;КРФмп2;0,00
1;КРФрп2;0,00
1;КРФсп2;0,00
1;Крис;328003,00
1;Кскр;386733474,00
1;Лам;239317720,00
1;Лат;416769860,00
1;ОД;145309188,00
1;Овм;358624070,00
1;Овт;538526787,00
1;ПК0;48258035,00
1;ПК1;48258035,00
1;ПК2;48258035,00
1;РР0;73085828,00
1;РР1;73085828,00
1;РР2;73085828,00
1;ПР0;4574673,91
1;ПР1;4574673,91
1;ОПР1;4548422,38
1;СПР1;26251,53
1;ФР1;0,00
1;ОФР1;0,00
1;СФР1;0,00
1;ОПР0;4548422,38
1;ПР2;4574673,91
1;ОПР2;4548422,38
1;СПР2;26251,53
1;ФР2;0,00
1;ОФР2;0,00
1;СФР2;0,00
1;СПР0;26251,53
1;ФР0;0,00
1;ОФР0;0,00
1;ТР;0,00
1;ОТР;0,00
1;ДТР;0,00
1;ГВР(ТР);0,00
1;ГВР(ВР);0,00
1;ГВР(ПР);0,00
1;ГВР(ФР);0,00
1;СФР0;0,00
1;ВР;1272192,33
2;Ар1.0;285146,00
2;Ар1.2;285146,00
2;Ар2.0;32,00
2;Ар2.2;32,00
2;Ар4.0;303158,00
2;Ар4.2;282922,00
2;Ариск0;285146,00
2;БК;7913,00
2;Кф;1,00
2;Лам;300099,00
2;Лат;676847,00
2;Овт;386722,00
2;ПК0;1105046,00
2;ПК2;1105046,00
2;РР0;63622,00
2;РР2;63622,00
2;ПР0;0,00
2;ПР1;0,00
2;ОПР1;0,00
2;СПР1;0,00
2;ФР1;0,00
2;ОФР1;0,00
2;СФР1;0,00
2;ОПР0;0,00
2;ПР2;0,00
2;ОПР2;0,00
2;СПР2;0,00
2;ФР2;0,00
2;ОФР2;0,00
2;СФР2;0,00
2;СПР0;0,00
2;ФР0;0,00
2;ОФР0;0,00
2;ТР;0,00
2;ОТР;0,00
2;ДТР;0,00
2;ГВР(ТР);0,00
2;ГВР(ВР);0,00
2;ГВР(ПР);0,00
2;ГВР(ФР);0,00
2;СФР0;0,00
2;ВР;5089,73
21;Ар1.0;548063,00
21;Ар1.2;548063,00
21;Ар2.0;22158,00
21;Ар2.2;22158,00
21;Ар3.0;3,00
21;Ар3.2;3,00
21;Ар4.0;873972,00
21;Ар4.2;873972,00
21;Ариск0;548063,00
21;Кф;1,00
21;Лам;669522,00
21;Лат;927728,00
21;Овт;1137756,00
21;ПК0;75621,00
21;ПК2;75621,00
21;РР0;8562,00
21;РР2;8562,00
21;ПР0;0,00
21;ПР1;0,00
21;ОПР1;0,00
21;СПР1;0,00
21;ФР1;0,00
21;ОФР1;0,00
21;СФР1;0,00
21;ОПР0;0,00
21;ПР2;0,00
21;ОПР2;0,00
21;СПР2;0,00
21;ФР2;0,00
21;ОФР2;0,00
21;СФР2;0,00
21;СПР0;0,00
21;ФР0;0,00
21;ОФР0;0,00
21;ТР;0,00
21;ОТР;0,00
21;ДТР;0,00
21;ГВР(ТР);0,00
21;ГВР(ВР);0,00
21;ГВР(ПР);0,00
21;ГВР(ФР);0,00
21;СФР0;0,00
21;ВР;684,95
23;Ар1.0;12226,00
23;Ар1.1;12226,00
23;Ар1.2;12226,00
23;Ар2.0;2606074,00
23;Ар2.1;2606074,00
23;Ар2.2;2606074,00
23;Ар3.0;0,00
23;Ар3.1;0,00
23;Ар3.2;0,00
23;Ар4.0;9221060,00
23;Ар4.1;9070563,00
23;Ар4.2;9070563,00
23;Ар5.0;0,00
23;Ар5.1;0,00
23;Ар5.2;0,00
23;Ариск0;12226,00
23;БК;59631300,00
23;Кф;1,01
23;Кинс;4770504,00
23;Крд;4566437,00
23;Крис;8132,00
23;Кскр;53229976,00
23;Лам;65613,00
23;Лат;13050721,00
23;ОД;34246520,00
23;Овм;84624,00
23;Овт;86695,00
23;ПК0;1600832,00
23;ПК1;1600832,00
23;ПК2;1600832,00
23;РР0;48836063,00
23;РР1;48836063,00
23;РР2;48836063,00
23;ПР0;0,00
23;ПР1;0,00
23;ОПР1;0,00
23;СПР1;0,00
23;ФР1;219976,00
23;ОФР1;109988,00
23;СФР1;109988,00
23;ОПР0;0,00
23;ПР2;0,00
23;ОПР2;0,00
23;СПР2;0,00
23;ФР2;219976,00
23;ОФР2;109988,00
23;СФР2;109988,00
23;СПР0;0,00
23;ФР0;219976,00
23;ОФР0;109988,00
23;ТР;0,00
23;ОТР;0,00
23;ДТР;0,00
23;ГВР(ТР);0,00
23;ГВР(ВР);0,00
23;ГВР(ПР);0,00
23;ГВР(ФР);0,00
23;СФР0;109988,00
23;ВР;3686909,00
52;Ар1.0;3087174,00
52;Ар1.1;3087174,00
52;Ар1.2;3087174,00
52;Ар2.0;17957,00
52;Ар2.1;17957,00
52;Ар2.2;17957,00
52;Ар4.0;4128528,00
52;Ар4.1;4128399,00
52;Ар4.2;4128399,00
52;Ариск0;3087174,00
52;Кф;1,00
52;Крд;347374,00
52;Крис;3729,00
52;Кскр;2304434,00
52;Лам;2004890,00
52;Лат;4135874,00
52;ОД;244462,00
52;Овм;2492970,00
52;Овт;2981158,00
52;ПК0;199036,00
52;ПК1;199036,00
52;ПК2;199036,00
52;ПР0;0,00
52;ПР1;0,00
52;ОПР1;0,00
52;СПР1;0,00
52;ФР1;0,00
52;ОФР1;0,00
52;СФР1;0,00
52;ОПР0;0,00
52;ПР2;0,00
52;ОПР2;0,00
52;СПР2;0,00
52;ФР2;0,00
52;ОФР2;0,00
52;СФР2;0,00
52;СПР0;0,00
52;ФР0;0,00
52;ОФР0;0,00
52;ТР;0,00
52;ОТР;0,00
52;ДТР;0,00
52;ГВР(ТР);0,00
52;ГВР(ВР);0,00
52;ГВР(ПР);0,00
52;ГВР(ФР);0,00
52;СФР0;0,00
52;ВР;0,00
53;Ар1.0;5190984,00
53;Ар1.1;5190984,00
53;Ар1.2;5190984,00
53;Ар2.0;25915,00
53;Ар2.1;25915,00
53;Ар2.2;25915,00
53;Ар4.0;9693512,00
53;Ар4.1;9193428,00
53;Ар4.2;9193428,00
53;Ариск0;5190984,00
53;БК;180188,00
53;Кф;1,00
53;Крд;2152166,00
53;Крис;17411,00
53;Кскр;8436081,00
53;Лам;2341855,00
53;Лат;4807968,00
53;ОД;1052834,00
53;Овм;4725826,00
53;Овт;5069199,00
53;ПК0;2047748,00
53;ПК1;2047748,00
53;ПК2;2047748,00
53;РР0;1819050,00
53;РР1;1819050,00
53;РР2;1819050,00
53;ПР0;123204,38
53;ПР1;123204,38
53;ОПР1;90396,65
53;СПР1;32807,73
53;ФР1;22319,60
53;ОФР1;11159,80
53;СФР1;11159,80
53;ОПР0;90396,65
53;ПР2;123204,38
53;ОПР2;90396,65
53;СПР2;32807,73
53;ФР2;22319,60
53;ОФР2;11159,80
53;СФР2;11159,80
53;СПР0;32807,73
53;ФР0;22319,60
53;ОФР0;11159,80
53;ТР;0,00
53;ОТР;0,00
53;ДТР;0,00
53;ГВР(ТР);0,00
53;ГВР(ВР);0,00
53;ГВР(ПР);0,00
53;ГВР(ФР);0,00
53;СФР0;11159,80
53;ВР;0,00
65;Ар1.0;2646620,00
65;Ар1.1;2646620,00
65;Ар1.2;2646620,00
65;Ар2.0;86161,00
65;Ар2.1;86161,00
65;Ар2.2;86161,00
65;Ар3.0;17614,00
65;Ар3.1;17614,00
65;Ар3.2;17614,00
65;Ар4.0;16848560,00
65;Ар4.1;16407808,00
65;Ар4.2;16407808,00
65;Ар5.0;0,00
65;Ар5.1;0,00
65;Ар5.2;0,00
65;Ариск0;11153060,00
65;БК;88235,00
65;Кф;1,00
65;Кинс;0,00
65;Крд;3328221,00
65;Крис;23182,00
65;Кскр;5052917,00
65;Лам;12213342,00
65;Лат;19663052,00
65;ОД;10782302,00
65;Овм;11077199,00
65;Овт;12699956,00
65;ПК0;2190101,00
65;ПК1;2190101,00
65;ПК2;2190101,00
65;РР0;463111,00
65;РР1;463111,00
65;РР2;463111,00
65;ПР0;37048,91
65;ПР1;37048,91
65;ОПР1;2086,98
65;СПР1;34961,93
