Unnamed: 0,477
Ар1.0,466
Ар1.1,287
Ар1.2,434
Ар2.0,454
Ар2.1,287
Ар2.2,425
Ар3.0,316
Ар3.1,222
Ар3.2,297
Ар4.0,466
Ар4.1,287
Ар4.2,434
Ар5.0,291
Ар5.1,206
Ар5.2,271
Ариск0,466
БК,346
Кф,462
Кинс,239
Крд,306
КРФмп0,240
КРФрп0,240
КРФсп0,249
КРФмп1,174
КРФрп1,174
КРФсп1,181
КРФмп2,221
КРФрп2,221
КРФсп2,230
Крис,306
Кскр,303
Лам,434
Лат,453
ОД,301
Овм,306
Овт,453
ПК0,451
ПК1,282
ПК2,426
РР0,403
РР1,271
РР2,377
ПР0,445
ПР1,440
ОПР1,432
СПР1,425
ФР1,410
ОФР1,403
СФР1,403
ОПР0,445
ПР2,443
ОПР2,443
СПР2,434
ФР2,412
ОФР2,412
СФР2,412
СПР0,436
ФР0,413
ОФР0,413
ТР,394
ОТР,394
ДТР,394
ГВР(ТР),377
ГВР(ВР),377
ГВР(ПР),378
ГВР(ФР),377
СФР0,413
ВР,449
Ф,19
Кбр,19
Кр,19
Кз,22
Лат1,32
О,43
ВО,19
Лат1.1,11
