REGN;C1_2;C2_2
1;Ар1.0;175401833,00
1;Ар1.1;175401833,00
1;Ар1.2;175401833,00
1;Ар2.0;52209202,00
1;Ар2.1;52209202,00
1;Ар2.2;52209202,00
1;Ар3.0;111388,00
1;Ар3.1;111388,00
1;Ар3.2;111388,00
1;Ар4.0;782051564,00
1;Ар4.1;771849243,00
1;Ар4.2;771849243,00
1;Ар5.0;1187,00
1;Ар5.1;1187,00
1;Ар5.2;1187,00
1;Ариск0;175401833,00
1;БК;20626178,00
1;Кф;1,00
1;Кинс;7200101,00
1;Крд;473563570,00
1;КРФмп0;0,00
1;КРФрп0;0,00
1;КРФсп0;0,00
1;КРФмп1;0,00
1;КРФрп1;0,00
1;КРФсп1;0,00
1;КРФмп2;0,00
1;КРФрп2;0,00
1;КРФсп2;0,00
1;Крис;320146,00
1;Кскр;331985311,00
1;Лам;245813110,00
1;Лат;553511367,00
1;ОД;121961546,00
1;Овм;388662699,00
1;Овт;668551292,00
1;ПК0;48646899,00
1;ПК1;48646899,00
1;ПК2;48646899,00
1;РР0;77594745,00
1;РР1;77594745,00
1;РР2;77594745,00
1;ПР0;5120498,89
1;ПР1;5120498,89
1;ОПР1;5120498,89
1;СПР1;0,00
1;ФР1;0,00
1;ОФР1;0,00
1;СФР1;0,00
1;ОПР0;5120498,89
1;ПР2;5120498,89
1;ОПР2;5120498,89
1;СПР2;0,00
1;ФР2;0,00
1;ОФР2;0,00
1;СФР2;0,00
1;СПР0;0,00
1;ФР0;0,00
1;ОФР0;0,00
1;ТР;0,00
1;ОТР;0,00
1;ДТР;0,00
1;ГВР(ТР);0,00
1;ГВР(ВР);0,00
1;ГВР(ПР);0,00
1;ГВР(ФР);0,00
1;СФР0;0,00
1;ВР;1087080,71
2;Ар1.0;406363,00
2;Ар1.2;406363,00
2;Ар2.0;163,00
2;Ар2.2;163,00
2;Ар4.0;300138,00
2;Ар4.2;279902,00
2;Ариск0;406363,00
2;БК;117998,00
2;Кф;1,00
2;Лам;408544,00
2;Лат;886067,00
2;Овт;593513,00
2;ПК0;792643,00
2;ПК2;792643,00
2;РР0;41098,00
2;РР2;41098,00
2;ПР0;0,00
2;ПР1;0,00
2;ОПР1;0,00
2;СПР1;0,00
2;ФР1;0,00
2;ОФР1;0,00
2;СФР1;0,00
2;ОПР0;0,00
2;ПР2;0,00
2;ОПР2;0,00
2;СПР2;0,00
2;ФР2;0,00
2;ОФР2;0,00
2;СФР2;0,00
2;СПР0;0,00
2;ФР0;0,00
2;ОФР0;0,00
2;ТР;0,00
2;ОТР;0,00
2;ДТР;0,00
2;ГВР(ТР);0,00
2;ГВР(ВР);0,00
2;ГВР(ПР);0,00
2;ГВР(ФР);0,00
2;СФР0;0,00
2;ВР;3287,80
21;Ар1.0;261769,00
21;Ар1.2;261769,00
21;Ар2.0;9587,00
21;Ар2.2;9587,00
21;Ар3.0;0,00
21;Ар3.2;0,00
21;Ар4.0;847547,00
21;Ар4.2;847547,00
21;Ариск0;261769,00
21;Кф;0,92
21;Лам;385405,00
21;Лат;444838,00
21;Овт;737991,00
21;ПК0;220314,00
21;ПК2;220314,00
21;РР0;20410,00
21;РР2;20410,00
21;ПР0;0,00
21;ПР1;0,00
21;ОПР1;0,00
21;СПР1;0,00
21;ФР1;0,00
21;ОФР1;0,00
21;СФР1;0,00
21;ОПР0;0,00
21;ПР2;0,00
21;ОПР2;0,00
21;СПР2;0,00
21;ФР2;0,00
21;ОФР2;0,00
21;СФР2;0,00
21;СПР0;0,00
21;ФР0;0,00
21;ОФР0;0,00
21;ТР;0,00
21;ОТР;0,00
21;ДТР;0,00
21;ГВР(ТР);0,00
21;ГВР(ВР);0,00
21;ГВР(ПР);0,00
21;ГВР(ФР);0,00
21;СФР0;0,00
21;ВР;1632,81
52;Ар1.0;709174,00
52;Ар1.1;709174,00
52;Ар1.2;709174,00
52;Ар2.0;38071,00
52;Ар2.1;38071,00
52;Ар2.2;38071,00
52;Ар4.0;6626041,00
52;Ар4.1;6625917,00
52;Ар4.2;6625917,00
52;Ариск0;709174,00
52;Кф;1,00
52;Крд;268829,00
52;Крис;1005,00
52;Кскр;5104067,00
52;Лам;1431378,00
52;Лат;1955155,00
52;ОД;418183,00
52;Овм;2069860,00
52;Овт;2367353,00
52;ПК0;404320,00
52;ПК1;404320,00
52;ПК2;404320,00
52;ПР0;0,00
52;ПР1;0,00
52;ОПР1;0,00
52;СПР1;0,00
52;ФР1;0,00
52;ОФР1;0,00
52;СФР1;0,00
52;ОПР0;0,00
52;ПР2;0,00
52;ОПР2;0,00
52;СПР2;0,00
52;ФР2;0,00
52;ОФР2;0,00
52;СФР2;0,00
52;СПР0;0,00
52;ФР0;0,00
52;ОФР0;0,00
52;ТР;0,00
52;ОТР;0,00
52;ДТР;0,00
52;ГВР(ТР);0,00
52;ГВР(ВР);0,00
52;ГВР(ПР);0,00
52;ГВР(ФР);0,00
52;СФР0;0,00
52;ВР;0,00
53;Ар1.0;3488801,00
53;Ар1.1;3488801,00
53;Ар1.2;3488801,00
53;Ар2.0;92394,00
53;Ар2.1;92394,00
53;Ар2.2;92394,00
53;Ар4.0;9905753,00
53;Ар4.1;9605108,00
53;Ар4.2;9605108,00
53;Ариск0;3488801,00
53;БК;178210,00
53;Кф;1,00
53;Крд;2018966,00
53;Крис;18862,00
53;Кскр;9545705,00
53;Лам;3258899,00
53;Лат;6579448,00
53;ОД;1116763,00
53;Овм;5110444,00
53;Овт;5355691,00
53;ПК0;1270644,00
53;ПК1;1270644,00
53;ПК2;1270644,00
53;РР0;2139854,00
53;РР1;2139854,00
53;РР2;2139854,00
53;ПР0;158990,03
53;ПР1;158990,03
53;ОПР1;35584,46
53;СПР1;123405,57
53;ФР1;4901,20
53;ОФР1;2450,60
53;СФР1;2450,60
53;ОПР0;35584,46
53;ПР2;158990,03
53;ОПР2;35584,46
53;СПР2;123405,57
53;ФР2;4901,20
53;ОФР2;2450,60
53;СФР2;2450,60
53;СПР0;123405,57
53;ФР0;4901,20
53;ОФР0;2450,60
53;СФР0;2450,60
53;ВР;7297,07
65;Ар1.0;2785825,00
65;Ар1.1;2785825,00
65;Ар1.2;2785825,00
65;Ар2.0;170972,00
65;Ар2.1;170972,00
65;Ар2.2;170972,00
65;Ар3.0;152823,00
65;Ар3.1;152823,00
65;Ар3.2;152823,00
65;Ар4.0;19436007,00
65;Ар4.1;18995255,00
65;Ар4.2;18995255,00
65;Ариск0;2785825,00
65;БК;138285,00
65;Кф;1,04
65;Крд;4239832,00
65;Крис;30523,00
65;Кскр;7958764,00
65;Лам;3005561,00
65;Лат;17794560,00
65;ОД;12837355,00
65;Овм;11021918,00
65;Овт;12716533,00
65;ПК0;2228824,00
65;ПК1;2228824,00
65;ПК2;2228824,00
65;РР0;126381,00
65;РР1;126381,00
65;РР2;126381,00
65;ПР0;10110,46
65;ПР1;10110,46
65;ОПР1;165,75
65;СПР1;9944,71
65;ФР1;0,00
65;ОФР1;0,00
65;СФР1;0,00
65;ОПР0;165,75
65;ПР2;10110,46
65;ОПР2;165,75
65;СПР2;9944,71
65;ФР2;0,00
65;ОФР2;0,00
65;СФР2;0,00
65;СПР0;9944,71
65;ФР0;0,00
65;ОФР0;0,00
65;ТР;0,00
65;ОТР;0,00
65;ДТР;0,00
65;ГВР(ТР);0,00
65;ГВР(ВР);0,00
65;ГВР(ПР);0,00
65;ГВР(ФР);0,00
65;СФР0;0,00
65;ВР;0,00
67;Ар1.0;3398417,00
67;Ар1.1;3398417,00
67;Ар1.2;3398417,00
67;Ар2.0;101,00
67;Ар2.1;101,00
67;Ар2.2;101,00
67;Ар4.0;8768810,00
67;Ар4.1;8722269,00
67;Ар4.2;8722269,00
67;Ариск0;3398417,00
67;Кф;0,94
67;Крд;7892104,00
67;Крис;9749,00
67;Кскр;3401384,00
67;Лам;3645558,00
67;Лат;5535108,00
67;ОД;3302415,00
67;Овм;4739950,00
67;Овт;5295589,00
67;ПК0;4331004,00
67;ПК1;4331004,00
67;ПК2;4331004,00
67;РР0;380113,00
67;РР1;380113,00
67;РР2;380113,00
67;ПР0;2631,00
67;ПР1;2631,00
67;ОПР1;145,00
67;СПР1;2486,00
67;ФР1;634,00
67;ОФР1;317,00
67;СФР1;317,00
67;ОПР0;145,00
67;ПР2;2631,00
67;ОПР2;145,00
67;СПР2;2486,00
67;ФР2;634,00
67;ОФР2;317,00
