,Ар1.0,Ар1.1,Ар1.2,Ар2.0,Ар2.1,Ар2.2,Ар3.0,Ар3.1,Ар3.2,Ар4.0,Ар4.1,Ар4.2,Ар5.0,Ар5.1,Ар5.2,Ариск0,БК,Кф,Кинс,Крд,КРФмп0,КРФрп0,КРФсп0,КРФмп1,КРФрп1,КРФсп1,КРФмп2,КРФрп2,КРФсп2,Крис,Кскр,Лам,Лат,ОД,Овм,Овт,ПК0,ПК1,ПК2,РР0,РР1,РР2,ПР0,ПР1,ОПР1,СПР1,ФР1,ОФР1,СФР1,ОПР0,ПР2,ОПР2,СПР2,ФР2,ОФР2,СФР2,СПР0,ФР0,ОФР0,ТР,ОТР,ДТР,ГВР(ТР),ГВР(ВР),ГВР(ПР),ГВР(ФР),СФР0,ВР,Ф,Кбр,Кр,Кз,Лат1,О,ВО,Лат1.1
1,162763602.0,162763602.0,162763602.0,53791700.0,53791700.0,53791700.0,520089.0,520089.0,520089.0,791377866.0,781175545.0,781175545.0,1178.0,1178.0,1178.0,162763602.0,18470603.0,1.0,7200101.0,441703090.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,337425.0,389139167.0,340010851.0,526428129.0,139975822.0,436281395.0,631589584.0,56163239.0,56163239.0,56163239.0,76984376.0,76984376.0,76984376.0,4748378.7,4748378.7,4748378.7,0.0,0.0,0.0,0.0,4748378.7,4748378.7,4748378.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1410371.34,,,,,,,,
1000,1252915241.0,1252915241.0,1252915241.0,78310855.0,78310855.0,78310855.0,4284833.0,4284833.0,4284833.0,8437563339.0,8473006955.0,8465806955.0,4166664.0,4166664.0,4166664.0,1535054906.0,334154936.0,1.0,254407924.0,6896652708.0,0.0,0.0,62626831.0,0.0,0.0,62626831.0,0.0,0.0,62626831.0,4807202.0,3419915824.0,960991309.0,2021029093.0,1117091634.0,3184410846.0,5019240220.0,1595346980.0,1595381582.0,1595346980.0,545348776.0,545348776.0,545348776.0,25314610.21,25314610.21,16996960.99,8317649.22,4875288.84,2437644.42,2437644.42,16996960.99,25314610.21,16996960.99,8317649.22,4875288.84,2437644.42,2437644.42,8317649.22,4875288.84,2437644.42,7408381.45,2209781.96,5198599.49,0.0,72705.86,0.0,0.0,2437644.42,6029621.59,,,,,,,,
101,8028503.0,8028503.0,8028503.0,1061532.0,1061532.0,1061532.0,0.0,0.0,0.0,5779823.0,5779823.0,5779823.0,0.0,0.0,0.0,13728892.0,365943.0,0.86,0.0,1798548.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55292.0,12558297.0,41892768.0,48830988.0,530851.0,32144738.0,36011321.0,1790803.0,1790803.0,1790803.0,13903725.0,13903725.0,13903725.0,1111156.0,1111156.0,360599.0,750557.0,1142.0,571.0,571.0,360599.0,1111156.0,360599.0,750557.0,1142.0,571.0,571.0,750557.0,1142.0,571.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,571.0,0.0,,,,,,,,
1016,336772.0,,336772.0,2919.0,,2919.0,6538.0,,6538.0,252614.0,,244166.0,,,,336772.0,,1.0,,,,,,,,,,,,,,349134.0,442202.0,,,142327.0,185478.0,,185478.0,211134.0,,211134.0,9547.99,,,,,,,2904.34,9547.99,2904.34,6643.65,5171.2,2585.6,2585.6,6643.65,5171.2,2585.6,,,,,,,,2585.6,2171.53,,,,,,,,
1027,608636.0,608636.0,608636.0,21550.0,21550.0,21550.0,,,,615133.0,391111.0,391111.0,,,,1301853.0,,1.03,,239876.0,,,,,,,,,,19574.0,,887066.0,897774.0,,632459.0,731750.0,120923.0,120923.0,120923.0,76750.0,76750.0,76750.0,5534.0,5534.0,5534.0,0.0,606.0,303.0,303.0,5534.0,5534.0,5534.0,0.0,606.0,303.0,303.0,0.0,606.0,303.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,303.0,0.0,,,,,,,,
1046,197832.0,,197832.0,12006.0,,12006.0,,,,163984.0,,163719.0,,,,197832.0,,1.0,,,,,,,,,,,,,,,263877.0,,,161839.0,181986.0,,181986.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
1049,2080901.0,2080901.0,2080901.0,229288.0,229288.0,229288.0,,,,4550352.0,4421582.0,4421582.0,,,,2080901.0,,0.99,,2397287.0,,,,,,,,,,25301.0,1381281.0,1358816.0,3041357.0,1726450.0,2559371.0,2823033.0,229985.0,229985.0,229985.0,4.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32,0.27,0.05,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
1050,317626.0,,317626.0,,,,,,,1289869.0,,1275311.0,,,,317626.0,,1.0,,,,,,,,,,,,,,315197.0,352634.0,,,404951.0,397294.0,,397294.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
1052,683228.0,,683228.0,3148.0,,3148.0,0.0,,0.0,662993.0,,662993.0,0.0,,0.0,683228.0,0.0,1.0,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,250479.0,905233.0,,,1033736.0,86134.0,,86134.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
106,498950.0,,498950.0,194927.0,,194927.0,0.0,,0.0,310919.0,,289753.0,0.0,,0.0,498950.0,7425.0,1.02,,,,,,,,,,,,,,917950.0,1451154.0,,,982540.0,33197.0,,33197.0,43938.0,,43938.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,3515.0,,,,,,,,
