,Ар1.0,Ар1.1,Ар1.2,Ар2.0,Ар2.1,Ар2.2,Ар3.0,Ар3.1,Ар3.2,Ар4.0,Ар4.1,Ар4.2,Ар5.0,Ар5.1,Ар5.2,Ариск0,БК,Кф,Кинс,Крд,КРФмп0,КРФрп0,КРФсп0,КРФмп1,КРФрп1,КРФсп1,КРФмп2,КРФрп2,КРФсп2,Крис,Кскр,Лам,Лат,ОД,Овм,Овт,ПК0,ПК1,ПК2,РР0,РР1,РР2,ПР0,ПР1,ОПР1,СПР1,ФР1,ОФР1,СФР1,ОПР0,ПР2,ОПР2,СПР2,ФР2,ОФР2,СФР2,СПР0,ФР0,ОФР0,ТР,ОТР,ДТР,ГВР(ТР),ГВР(ВР),ГВР(ПР),ГВР(ФР),СФР0,ВР,Ф,Кбр,Кр,Кз,Лат1,О,ВО,Лат1.1
732,1892977.0,1892977.0,1892977.0,771670.0,771670.0,771670.0,,,,7745195.0,7745195.0,7745195.0,,,,1892977.0,87088.0,1.0,,4305523.0,,,,,,,,,,12266.0,5666849.0,3699238.0,5959181.0,1421363.0,3610231.0,5153279.0,394807.0,394807.0,394807.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
735,7107825.0,7107825.0,7107825.0,534706.0,534706.0,534706.0,,,,11696625.0,11144805.0,11144805.0,,,,7107825.0,,1.0,,5751963.0,,,,,,,,,,27656.0,7208807.0,3020881.0,7108382.0,4101580.0,4606455.0,6795839.0,2150905.0,2150905.0,2150905.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
752,722158.0,,722158.0,5053.0,,5053.0,,,,2557030.0,,2261306.0,,,,722158.0,,0.99,,,,,,,,,,,,,,391594.0,810227.0,,,716201.0,205357.0,,205357.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
760,2657152.0,2657152.0,2657152.0,244891.0,244891.0,244891.0,6081.0,6081.0,6081.0,3094600.0,3054121.0,3054121.0,,,,2657152.0,2670.0,0.99,,1776493.0,,,,,,,,,,13268.0,2255014.0,1173453.0,2786515.0,987037.0,1943100.0,2251802.0,160566.0,160566.0,160566.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
77,1004459.0,1004459.0,1004459.0,12922.0,12922.0,12922.0,20572.0,20572.0,20572.0,7802409.0,7602075.0,7602075.0,0.0,0.0,0.0,3043961.0,327570.0,0.97,0.0,1187710.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3241.0,7724089.0,3093107.0,5024439.0,1377972.0,3437554.0,5544867.0,2182963.0,2182963.0,2182963.0,1058468.0,1058468.0,1058468.0,76640.71,76640.71,62662.31,13978.4,0.0,0.0,0.0,62662.31,76640.71,62662.31,13978.4,0.0,0.0,0.0,13978.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8036.76,,,,,,,,
779,753641.0,,753641.0,,,,,,,382605.0,,382605.0,,,,753641.0,,1.0,,,,,,,,,,,,,,753222.0,1399743.0,,,523247.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
783,1110781.0,,1110781.0,3061.0,,3061.0,,,,2984933.0,,2726525.0,,,,1110781.0,,0.98,,,,,,,,,,,,,,331060.0,1734091.0,,,1162093.0,45562.0,,45562.0,546628.0,,546628.0,39060.79,39060.79,3200.06,35860.73,4669.44,2334.72,2334.72,3200.06,39060.79,3200.06,35860.73,4669.44,2334.72,2334.72,35860.73,4669.44,2334.72,,,,,,,,2334.72,,,,,,,,,
784,189736.0,,189736.0,13441.0,,13441.0,,,,830100.0,,758192.0,,,,189736.0,2058.0,1.01,,,,,,,,,,,,,,121021.0,304974.0,,,496120.0,356359.0,,356359.0,37325.0,,37325.0,2986.0,,,,,,,629.87,2986.0,629.87,2356.13,,,,2356.13,,,,,,,,,,,,,,,,,,,
804,252234.0,,252234.0,,,,,,,341591.0,,220110.0,,,,252234.0,,1.05,,,,,,,,,,,,,,103155.0,301802.0,,,286883.0,70922.0,,70922.0,26350.0,,26350.0,,,,,,,,,,,,,,,,,,,,,,,,,,2108.0,,,,,,,,
817,168659.0,168659.0,168659.0,117032.0,117032.0,117032.0,,,,1962499.0,1805762.0,1805762.0,,,,168659.0,,0.94,148.0,597250.0,,,,,,,,,,1022.0,1358881.0,759895.0,874843.0,500132.0,498588.0,577640.0,305578.0,305578.0,305578.0,100938.0,100938.0,100938.0,,,,,,,,,,,,,,,,,,152.0,127.0,25.0,,,,,,7923.0,,,,,,,,
