REGN;C1_2;C2_2
1;Ар1.0;140051877,00
1;Ар1.1;140051877,00
1;Ар1.2;140051877,00
1;Ар2.0;45788126,00
1;Ар2.1;45788126,00
1;Ар2.2;45788126,00
1;Ар3.0;7801174,00
1;Ар3.1;7801174,00
1;Ар3.2;7801174,00
1;Ар4.0;757255336,00
1;Ар4.1;747053015,00
1;Ар4.2;747053015,00
1;Ар5.0;30426,00
1;Ар5.1;30426,00
1;Ар5.2;30426,00
1;Ариск0;140051877,00
1;БК;19942470,00
1;Кф;1,00
1;Кинс;7200101,00
1;Крд;451429607,00
1;КРФмп0;0,00
1;КРФрп0;0,00
1;КРФсп0;0,00
1;КРФмп1;0,00
1;КРФрп1;0,00
1;КРФсп1;0,00
1;КРФмп2;0,00
1;КРФрп2;0,00
1;КРФсп2;0,00
1;Крис;315560,00
1;Кскр;355913003,00
1;Лам;311129473,00
1;Лат;507008084,00
1;ОД;133772872,00
1;Овм;394987397,00
1;Овт;626386597,00
1;ПК0;50552799,00
1;ПК1;50552799,00
1;ПК2;50552799,00
1;РР0;66421466,00
1;РР1;66421466,00
1;РР2;66421466,00
1;ПР0;4011044,32
1;ПР1;4011044,32
1;ОПР1;4011044,32
1;СПР1;0,00
1;ФР1;0,00
1;ОФР1;0,00
1;СФР1;0,00
1;ОПР0;4011044,32
1;ПР2;4011044,32
1;ОПР2;4011044,32
1;СПР2;0,00
1;ФР2;0,00
1;ОФР2;0,00
1;СФР2;0,00
1;СПР0;0,00
1;ФР0;0,00
1;ОФР0;0,00
1;ТР;0,00
1;ОТР;0,00
1;ДТР;0,00
1;ГВР(ТР);0,00
1;ГВР(ВР);0,00
1;ГВР(ПР);0,00
1;ГВР(ФР);0,00
1;СФР0;0,00
1;ВР;1302672,93
2;Ар1.0;172303,00
2;Ар1.2;172303,00
2;Ар2.0;46,00
2;Ар2.2;46,00
2;Ар4.0;367935,00
2;Ар4.2;347699,00
2;Ариск0;172303,00
2;БК;9375,00
2;Кф;1,00
2;Лам;189404,00
2;Лат;635972,00
2;Овт;483163,00
2;ПК0;739517,00
2;ПК2;739517,00
2;РР0;52388,00
2;РР2;52388,00
2;ПР0;0,00
2;ПР1;0,00
2;ОПР1;0,00
2;СПР1;0,00
2;ФР1;0,00
2;ОФР1;0,00
2;СФР1;0,00
2;ОПР0;0,00
2;ПР2;0,00
2;ОПР2;0,00
2;СПР2;0,00
