date,jpy_rub
2017-10-25,50.6734
2017-10-28,50.9369
2017-11-01,51.4067
2017-11-10,52.1591
2017-11-15,52.3471
2017-11-25,52.5538
2017-11-28,52.4241
2017-12-01,52.1488
2017-12-05,52.2508
2017-12-15,52.0855
2017-12-20,52.0553
2017-12-28,50.757
2018-01-10,50.5483
2018-01-20,51.1726
2018-01-25,51.3255
2018-02-01,51.6896
2018-02-10,53.2489
2018-02-15,53.6369
2018-02-20,52.8628
2018-02-28,51.998
2018-03-01,52.61
2018-03-15,53.387
2018-03-20,54.3739
2018-03-28,54.1786
2018-04-05,54.4487
2018-04-10,54.6655
2018-04-20,56.6941
2018-04-25,56.6638
2018-04-28,57.3757
2018-05-05,57.9323
2018-05-15,56.3863
2018-05-25,55.9867
2018-06-01,56.9816
2018-06-05,56.5433
2018-06-10,56.9084
2018-06-15,56.5893
2018-06-20,58.4059
2018-06-28,57.5087
2018-07-05,57.2161
2018-07-10,56.8966
2018-07-20,55.9828
2018-07-25,56.5681
2018-07-28,56.6632
2018-08-01,55.9843
2018-08-10,59.6764
2018-08-15,60.0923
2018-08-25,60.8729
2018-08-28,60.6273
2018-09-01,61.4704
2018-09-05,61.2238
2018-09-15,61.0675
2018-09-20,59.6305
2018-09-25,58.7535
2018-09-28,58.414
2018-10-05,57.9
2018-10-10,58.6782
2018-10-20,58.5456
2018-10-25,58.3455
2018-11-01,57.9958
2018-11-10,58.738
2018-11-15,59.7072
2018-11-20,58.51
2018-11-28,58.8007
2018-12-01,58.6534
2018-12-05,58.7686
2018-12-15,58.4881
2018-12-20,59.7269
2018-12-25,61.6643
2018-12-28,62.087
2019-01-10,61.6087
2019-01-15,62.1257
2019-01-25,60.1847
2019-02-01,60.1405
2019-02-05,59.6914
2019-02-15,59.9081
2019-02-20,59.7924
2019-02-28,59.5544
2019-03-01,59.4939
2019-03-05,58.7907
2019-03-15,58.5489
2019-03-20,57.805
2019-03-28,58.4098
2019-04-05,58.6455
2019-04-10,58.2183
2019-04-20,57.1481
2019-04-25,57.2142
2019-05-01,58.0591
2019-05-15,59.5668
2019-05-25,58.9916
2019-05-28,58.8521
2019-06-01,60.0757
2019-06-05,60.3095
2019-06-15,59.5413
2019-06-20,59.0406
2019-06-25,58.5722
2019-06-28,58.3779
2019-07-05,58.8111
2019-07-10,58.5735
2019-07-20,58.3828
2019-07-25,58.4166
2019-08-01,58.414
2019-08-10,61.5781
2019-08-15,61.2841
2019-08-20,62.493
2019-08-28,62.6195
2019-09-05,62.609
2019-09-10,61.3002
2019-09-20,59.4381
2019-09-25,59.1816
2019-09-28,59.7077
2019-10-01,59.9191
2019-10-05,60.8981
2019-10-10,60.6716
2019-10-15,59.4625
2019-10-25,58.7597
2019-11-01,58.711
2019-11-15,59.0791
2019-11-20,58.6715
2019-11-28,58.6014
2019-12-05,59.1739
2019-12-10,58.7078
2019-12-20,57.0644
2019-12-25,56.8309
2019-12-28,56.6575
2020-01-01,56.9746
2020-01-10,56.0161
2020-01-15,55.8843
2020-01-25,56.3871
2020-01-28,57.1253
2020-02-01,57.9119
2020-02-05,58.1725
2020-02-15,57.7981
2020-02-20,57.8476
2020-02-28,59.6425
2020-03-05,61.5112
2020-03-20,73.5453
2020-03-25,71.2054
2020-03-28,71.4027
2020-04-10,68.5047
2020-04-15,68.143
2020-04-25,69.4035
2020-04-28,69.4763
2020-05-01,68.198
2020-05-15,69.1935
2020-05-20,67.4196
2020-05-28,66.0841
2020-06-05,63.2325
2020-06-10,63.6199
2020-06-20,65.0545
2020-06-25,64.615
2020-07-01,65.4264
2020-07-10,66.0917
2020-07-15,66.2977
2020-07-25,67.3446
2020-07-28,67.8692
2020-08-01,70.187
2020-08-05,69.2498
2020-08-15,68.5701
