date,org_num
2015-01-10,832.0
2015-01-15,832.0
2015-01-20,832.0
2015-01-25,832.0
2015-01-28,832.0
2015-02-01,828.0
2015-02-05,828.0
2015-02-10,828.0
2015-02-15,828.0
2015-02-20,828.0
2015-02-25,828.0
2015-02-28,828.0
2015-03-01,826.0
2015-03-05,826.0
2015-03-10,826.0
2015-03-15,826.0
2015-03-20,826.0
2015-03-25,826.0
2015-03-28,826.0
2015-04-01,817.0
2015-04-05,817.0
2015-04-10,817.0
2015-04-15,817.0
2015-04-20,817.0
2015-04-25,817.0
2015-04-28,817.0
2015-05-01,810.0
2015-05-05,810.0
2015-05-10,810.0
2015-05-15,810.0
2015-05-20,810.0
2015-05-25,810.0
2015-05-28,810.0
2015-06-01,803.0
2015-06-05,803.0
2015-06-10,803.0
2015-06-15,803.0
2015-06-20,803.0
2015-06-25,803.0
2015-06-28,803.0
2015-07-01,790.0
2015-07-05,790.0
2015-07-10,790.0
2015-07-15,790.0
2015-07-20,790.0
2015-07-25,790.0
2015-07-28,790.0
2015-08-01,778.0
2015-08-05,778.0
2015-08-10,778.0
2015-08-15,778.0
2015-08-20,778.0
2015-08-25,778.0
2015-08-28,778.0
2015-09-01,771.0
2015-09-05,771.0
2015-09-10,771.0
2015-09-15,771.0
2015-09-20,771.0
2015-09-25,771.0
2015-09-28,771.0
2015-10-01,761.0
2015-10-05,761.0
2015-10-10,761.0
2015-10-15,761.0
2015-10-20,761.0
2015-10-25,761.0
2015-10-28,761.0
2015-11-01,745.0
2015-11-05,745.0
2015-11-10,745.0
2015-11-15,745.0
2015-11-20,745.0
2015-11-25,745.0
2015-11-28,745.0
2015-12-01,735.0
2015-12-05,735.0
2015-12-10,735.0
2015-12-15,735.0
2015-12-20,735.0
2015-12-25,735.0
2015-12-28,735.0
2016-01-01,729.0
2016-01-05,729.0
2016-01-10,729.0
2016-01-15,729.0
2016-01-20,729.0
2016-01-25,729.0
2016-01-28,729.0
2016-02-01,721.0
2016-02-05,721.0
2016-02-10,721.0
2016-02-15,721.0
2016-02-20,721.0
2016-02-25,721.0
2016-02-28,721.0
2016-03-01,711.0
2016-03-05,711.0
2016-03-10,711.0
2016-03-15,711.0
2016-03-20,711.0
2016-03-25,711.0
2016-03-28,711.0
2016-04-01,700.0
2016-04-05,700.0
2016-04-10,700.0
2016-04-15,700.0
2016-04-20,700.0
2016-04-25,700.0
2016-04-28,700.0
2016-05-01,693.0
2016-05-05,693.0
2016-05-10,693.0
2016-05-15,693.0
2016-05-20,693.0
2016-05-25,693.0
2016-05-28,693.0
2016-06-01,686.0
2016-06-05,686.0
2016-06-10,686.0
2016-06-15,686.0
2016-06-20,686.0
2016-06-25,686.0
2016-06-28,686.0
2016-07-01,676.0
2016-07-05,676.0
2016-07-10,676.0
2016-07-15,676.0
2016-07-20,676.0
2016-07-25,676.0
2016-07-28,676.0
2016-08-01,663.0
2016-08-05,663.0
2016-08-10,663.0
2016-08-15,663.0
2016-08-20,663.0
2016-08-25,663.0
2016-08-28,663.0
2016-09-01,651.0
2016-09-05,651.0
2016-09-10,651.0
2016-09-15,651.0
2016-09-20,651.0
2016-09-25,651.0
2016-09-28,651.0
2016-10-01,647.0
2016-10-05,647.0
2016-10-10,647.0
2016-10-15,647.0
2016-10-20,647.0
2016-10-25,647.0
2016-10-28,647.0
2016-11-01,638.0
2016-11-05,638.0
2016-11-10,638.0
2016-11-15,638.0
2016-11-20,638.0
2016-11-25,638.0
2016-11-28,638.0
2016-12-01,627.0
2016-12-05,627.0
2016-12-10,627.0
2016-12-15,627.0
2016-12-20,627.0
2016-12-25,627.0
2016-12-28,627.0
2017-01-01,620.0
2017-01-05,620.0
2017-01-10,620.0
2017-01-15,620.0
2017-01-20,620.0
2017-01-25,620.0
2017-01-28,620.0
2017-02-01,617.0
2017-02-05,617.0
2017-02-10,617.0
2017-02-15,617.0
2017-02-20,617.0
2017-02-25,617.0
2017-02-28,617.0
2017-03-01,609.0
2017-03-05,609.0
2017-03-10,609.0
2017-03-15,609.0
2017-03-20,609.0
2017-03-25,609.0
2017-03-28,609.0
2017-04-01,605.0
2017-04-05,605.0
2017-04-10,605.0
2017-04-15,605.0
2017-04-20,605.0
2017-04-25,605.0
2017-04-28,605.0
2017-05-01,594.0
2017-05-05,594.0
2017-05-10,594.0
2017-05-15,594.0
2017-05-20,594.0
2017-05-25,594.0
2017-05-28,594.0
2017-06-01,589.0
2017-06-05,589.0
2017-06-10,589.0
2017-06-15,589.0
2017-06-20,589.0
2017-06-25,589.0
2017-06-28,589.0
2017-07-01,582.0
2017-07-05,582.0
2017-07-10,582.0
2017-07-15,582.0
2017-07-20,582.0
2017-07-25,582.0
2017-07-28,582.0
2017-08-01,577.0
2017-08-05,577.0
2017-08-10,577.0
2017-08-15,577.0
2017-08-20,577.0
2017-08-25,577.0
2017-08-28,577.0
2017-09-01,575.0
2017-09-05,575.0
2017-09-10,575.0
2017-09-15,575.0
2017-09-20,575.0
2017-09-25,575.0
2017-09-28,575.0
2017-10-01,572.0
2017-10-05,572.0
2017-10-10,572.0
2017-10-15,572.0
2017-10-20,572.0
2017-10-25,572.0
2017-10-28,572.0
2017-11-01,570.0
2017-11-05,570.0
2017-11-10,570.0
2017-11-15,570.0
2017-11-20,570.0
2017-11-25,570.0
2017-11-28,570.0
2017-12-01,563.0
2017-12-05,563.0
2017-12-10,563.0
2017-12-15,563.0
2017-12-20,563.0
2017-12-25,563.0
2017-12-28,563.0
2018-01-01,558.0
2018-01-05,558.0
2018-01-10,558.0
2018-01-15,558.0
2018-01-20,558.0
2018-01-25,558.0
2018-01-28,558.0
2018-02-01,552.0
2018-02-05,552.0
2018-02-10,552.0
2018-02-15,552.0
2018-02-20,552.0
2018-02-25,552.0
2018-02-28,552.0
2018-03-01,546.0
2018-03-05,546.0
2018-03-10,546.0
2018-03-15,546.0
2018-03-20,546.0
2018-03-25,546.0
2018-03-28,546.0
2018-04-01,538.0
2018-04-05,538.0
2018-04-10,538.0
2018-04-15,538.0
2018-04-20,538.0
2018-04-25,538.0
2018-04-28,538.0
2018-05-01,533.0
2018-05-05,533.0
2018-05-10,533.0
2018-05-15,533.0
2018-05-20,533.0
2018-05-25,533.0
2018-05-28,533.0
2018-06-01,527.0
2018-06-05,527.0
2018-06-10,527.0
2018-06-15,527.0
2018-06-20,527.0
2018-06-25,527.0
2018-06-28,527.0
2018-07-01,520.0
2018-07-05,520.0
2018-07-10,520.0
2018-07-15,520.0
2018-07-20,520.0
2018-07-25,520.0
2018-07-28,520.0
2018-08-01,514.0
2018-08-05,514.0
2018-08-10,514.0
2018-08-15,514.0
2018-08-20,514.0
2018-08-25,514.0
2018-08-28,514.0
2018-09-01,511.0
2018-09-05,511.0
2018-09-10,511.0
2018-09-15,511.0
2018-09-20,511.0
2018-09-25,511.0
2018-09-28,511.0
2018-10-01,505.0
2018-10-05,505.0
2018-10-10,505.0
2018-10-15,505.0
2018-10-20,505.0
2018-10-25,505.0
2018-10-28,505.0
2018-11-01,493.0
2018-11-05,493.0
2018-11-10,493.0
2018-11-15,493.0
2018-11-20,493.0
2018-11-25,493.0
2018-11-28,493.0
2018-12-01,486.0
2018-12-05,486.0
2018-12-10,486.0
2018-12-15,486.0
2018-12-20,486.0
2018-12-25,486.0
2018-12-28,486.0
2019-01-01,482.0
2019-01-05,482.0
2019-01-10,482.0
2019-01-15,482.0
2019-01-20,482.0
2019-01-25,482.0
2019-01-28,482.0
2019-02-01,478.0
2019-02-05,478.0
2019-02-10,478.0
2019-02-15,478.0
2019-02-20,478.0
2019-02-25,478.0
2019-02-28,478.0
2019-03-01,474.0
2019-03-05,474.0
2019-03-10,474.0
2019-03-15,474.0
2019-03-20,474.0
2019-03-25,474.0
2019-03-28,474.0
2019-04-01,470.0
2019-04-05,470.0
2019-04-10,470.0
2019-04-15,470.0
2019-04-20,470.0
2019-04-25,470.0
2019-04-28,470.0
2019-05-01,466.0
2019-05-05,466.0
