date,res_gol
2016-06-05,57930.0
2016-06-10,57930.0
2016-06-15,57930.0
2016-06-20,57930.0
2016-06-25,57930.0
2016-06-28,57930.0
2016-07-01,63497.0
2016-07-05,63497.0
2016-07-10,63497.0
2016-07-15,63497.0
2016-07-20,63497.0
2016-07-25,63497.0
2016-07-28,63497.0
2016-08-01,64520.0
2016-08-05,64520.0
2016-08-10,64520.0
2016-08-15,64520.0
2016-08-20,64520.0
2016-08-25,64520.0
2016-08-28,64520.0
2016-09-01,64710.0
2016-09-05,64710.0
2016-09-10,64710.0
2016-09-15,64710.0
2016-09-20,64710.0
2016-09-25,64710.0
2016-09-28,64710.0
2016-10-01,65512.0
2016-10-05,65512.0
2016-10-10,65512.0
2016-10-15,65512.0
2016-10-20,65512.0
2016-10-25,65512.0
2016-10-28,65512.0
2016-11-01,64431.0
2016-11-05,64431.0
2016-11-10,64431.0
2016-11-15,64431.0
2016-11-20,64431.0
2016-11-25,64431.0
2016-11-28,64431.0
2016-12-01,61657.0
2016-12-05,61657.0
2016-12-10,61657.0
2016-12-15,61657.0
2016-12-20,61657.0
2016-12-25,61657.0
2016-12-28,61657.0
2017-01-01,60194.0
2017-01-05,60194.0
2017-01-10,60194.0
2017-01-15,60194.0
2017-01-20,60194.0
2017-01-25,60194.0
2017-01-28,60194.0
2017-02-01,62936.0
2017-02-05,62936.0
2017-02-10,62936.0
2017-02-15,62936.0
2017-02-20,62936.0
2017-02-25,62936.0
2017-02-28,62936.0
2017-03-01,66863.0
2017-03-05,66863.0
2017-03-10,66863.0
2017-03-15,66863.0
2017-03-20,66863.0
2017-03-25,66863.0
2017-03-28,66863.0
2017-04-01,67570.0
2017-04-05,67570.0
2017-04-10,67570.0
2017-04-15,67570.0
2017-04-20,67570.0
2017-04-25,67570.0
2017-04-28,67570.0
2017-05-01,68653.0
2017-05-05,68653.0
2017-05-10,68653.0
2017-05-15,68653.0
2017-05-20,68653.0
2017-05-25,68653.0
2017-05-28,68653.0
2017-06-01,69295.0
2017-06-05,69295.0
2017-06-10,69295.0
2017-06-15,69295.0
2017-06-20,69295.0
2017-06-25,69295.0
2017-06-28,69295.0
2017-07-01,68770.0
2017-07-05,68770.0
2017-07-10,68770.0
2017-07-15,68770.0
2017-07-20,68770.0
2017-07-25,68770.0
2017-07-28,68770.0
2017-08-01,70037.0
2017-08-05,70037.0
2017-08-10,70037.0
2017-08-15,70037.0
2017-08-20,70037.0
2017-08-25,70037.0
2017-08-28,70037.0
2017-09-01,73500.0
2017-09-05,73500.0
2017-09-10,73500.0
2017-09-15,73500.0
2017-09-20,73500.0
2017-09-25,73500.0
2017-09-28,73500.0
2017-10-01,73603.0
2017-10-05,73603.0
2017-10-10,73603.0
2017-10-15,73603.0
2017-10-20,73603.0
2017-10-25,73603.0
2017-10-28,73603.0
2017-11-01,73705.0
2017-11-05,73705.0
2017-11-10,73705.0
2017-11-15,73705.0
2017-11-20,73705.0
2017-11-25,73705.0
2017-11-28,73705.0
2017-12-01,76118.0
2017-12-05,76118.0
2017-12-10,76118.0
2017-12-15,76118.0
2017-12-20,76118.0
2017-12-25,76118.0
2017-12-28,76118.0
2018-01-01,76647.0
2018-01-05,76647.0
2018-01-10,76647.0
2018-01-15,76647.0
2018-01-20,76647.0
2018-01-25,76647.0
2018-01-28,76647.0
2018-02-01,80378.0
2018-02-05,80378.0
2018-02-10,80378.0
2018-02-15,80378.0
2018-02-20,80378.0
2018-02-25,80378.0
2018-02-28,80378.0
2018-03-01,80582.0
2018-03-05,80582.0
2018-03-10,80582.0
2018-03-15,80582.0
2018-03-20,80582.0
2018-03-25,80582.0
2018-03-28,80582.0
2018-04-01,80482.0
2018-04-05,80482.0
2018-04-10,80482.0
2018-04-15,80482.0
2018-04-20,80482.0
2018-04-25,80482.0
2018-04-28,80482.0
2018-05-01,81146.0
2018-05-05,81146.0
2018-05-10,81146.0
2018-05-15,81146.0
2018-05-20,81146.0
2018-05-25,81146.0
2018-05-28,81146.0
2018-06-01,80511.0
2018-06-05,80511.0
2018-06-10,80511.0
2018-06-15,80511.0
2018-06-20,80511.0
2018-06-25,80511.0
2018-06-28,80511.0
2018-07-01,78167.0
2018-07-05,78167.0
2018-07-10,78167.0
2018-07-15,78167.0
2018-07-20,78167.0
2018-07-25,78167.0
