date,act_bal
2012-01-01,773.6048387096772
2012-01-05,773.6048387096772
2012-01-10,773.6048387096772
2012-01-15,773.6048387096772
2012-01-20,773.6048387096772
2012-01-25,773.6048387096772
2012-01-28,773.6048387096772
2012-02-01,724.7196428571432
2012-02-05,724.7196428571432
2012-02-10,724.7196428571432
2012-02-15,724.7196428571432
2012-02-20,724.7196428571432
2012-02-25,724.7196428571432
2012-02-28,724.7196428571432
2012-03-01,710.1661290322579
2012-03-05,710.1661290322579
2012-03-10,710.1661290322579
2012-03-15,710.1661290322579
2012-03-20,710.1661290322579
2012-03-25,710.1661290322579
2012-03-28,710.1661290322579
2012-04-01,692.8683333333336
2012-04-05,692.8683333333336
2012-04-10,692.8683333333336
2012-04-15,692.8683333333336
2012-04-20,692.8683333333336
2012-04-25,692.8683333333336
2012-04-28,692.8683333333336
2012-05-01,688.5338709677418
2012-05-05,688.5338709677418
2012-05-10,688.5338709677418
2012-05-15,688.5338709677418
2012-05-20,688.5338709677418
2012-05-25,688.5338709677418
2012-05-28,688.5338709677418
2012-06-01,707.6216666666666
2012-06-05,707.6216666666666
2012-06-10,707.6216666666666
2012-06-15,707.6216666666666
2012-06-20,707.6216666666666
2012-06-25,707.6216666666666
2012-06-28,707.6216666666666
2012-07-01,720.2790322580646
2012-07-05,720.2790322580646
2012-07-10,720.2790322580646
2012-07-15,720.2790322580646
2012-07-20,720.2790322580646
2012-07-25,720.2790322580646
2012-07-28,720.2790322580646
2012-08-01,712.5387096774191
2012-08-05,712.5387096774191
2012-08-10,712.5387096774191
2012-08-15,712.5387096774191
2012-08-20,712.5387096774191
2012-08-25,712.5387096774191
2012-08-28,712.5387096774191
2012-09-01,729.2166666666668
2012-09-05,729.2166666666668
2012-09-10,729.2166666666668
2012-09-15,729.2166666666668
2012-09-20,729.2166666666668
2012-09-25,729.2166666666668
2012-09-28,729.2166666666668
2012-10-01,738.0693548387098
2012-10-05,738.0693548387098
2012-10-10,738.0693548387098
2012-10-15,738.0693548387098
2012-10-20,738.0693548387098
2012-10-25,738.0693548387098
2012-10-28,738.0693548387098
2012-11-01,744.7016666666666
2012-11-05,744.7016666666666
2012-11-10,744.7016666666666
2012-11-15,744.7016666666666
2012-11-20,744.7016666666666
2012-11-25,744.7016666666666
2012-11-28,744.7016666666666
2012-12-01,1054.9790322580645
2012-12-05,1054.9790322580645
2012-12-10,1054.9790322580645
2012-12-15,1054.9790322580645
2012-12-20,1054.9790322580645
2012-12-25,1054.9790322580645
2012-12-28,1054.9790322580645
2013-01-01,841.8306451612904
2013-01-05,841.8306451612904
2013-01-10,841.8306451612904
2013-01-15,841.8306451612904
2013-01-20,841.8306451612904
2013-01-25,841.8306451612904
2013-01-28,841.8306451612904
2013-02-01,789.8696428571432
2013-02-05,789.8696428571432
2013-02-10,789.8696428571432
2013-02-15,789.8696428571432
2013-02-20,789.8696428571432
2013-02-25,789.8696428571432
2013-02-28,789.8696428571432
2013-03-01,798.2435483870968
2013-03-05,798.2435483870968
2013-03-10,798.2435483870968
2013-03-15,798.2435483870968
2013-03-20,798.2435483870968
2013-03-25,798.2435483870968
2013-03-28,798.2435483870968
2013-04-01,841.4666666666669
2013-04-05,841.4666666666669
2013-04-10,841.4666666666669
2013-04-15,841.4666666666669
2013-04-20,841.4666666666669
2013-04-25,841.4666666666669
2013-04-28,841.4666666666669
2013-05-01,858.698387096774
2013-05-05,858.698387096774
2013-05-10,858.698387096774
2013-05-15,858.698387096774
2013-05-20,858.698387096774
2013-05-25,858.698387096774
2013-05-28,858.698387096774
2013-06-01,890.6966666666668
2013-06-05,890.6966666666668
2013-06-10,890.6966666666668
2013-06-15,890.6966666666668
2013-06-20,890.6966666666668
2013-06-25,890.6966666666668
2013-06-28,890.6966666666668
2013-07-01,871.4274193548389
2013-07-05,871.4274193548389
2013-07-10,871.4274193548389
2013-07-15,871.4274193548389
2013-07-20,871.4274193548389
2013-07-25,871.4274193548389
2013-07-28,871.4274193548389
2013-08-01,840.5499999999998
2013-08-05,840.5499999999998
2013-08-10,840.5499999999998
2013-08-15,840.5499999999998
2013-08-20,840.5499999999998
2013-08-25,840.5499999999998
2013-08-28,840.5499999999998
2013-09-01,865.705
2013-09-05,865.705
2013-09-10,865.705
2013-09-15,865.705
2013-09-20,865.705
2013-09-25,865.705
2013-09-28,865.705
2013-10-01,862.2161290322582
2013-10-05,862.2161290322582
2013-10-10,862.2161290322582
2013-10-15,862.2161290322582
2013-10-20,862.2161290322582
2013-10-25,862.2161290322582
2013-10-28,862.2161290322582
2013-11-01,888.1166666666667
2013-11-05,888.1166666666667
2013-11-10,888.1166666666667
2013-11-15,888.1166666666667
2013-11-20,888.1166666666667
2013-11-25,888.1166666666667
2013-11-28,888.1166666666667
2013-12-01,1242.059677419355
2013-12-05,1242.059677419355
2013-12-10,1242.059677419355
2013-12-15,1242.059677419355
2013-12-20,1242.059677419355
2013-12-25,1242.059677419355
2013-12-28,1242.059677419355
2014-01-01,1067.0774193548389
2014-01-05,1067.0774193548389
2014-01-10,1067.0774193548389
2014-01-15,1067.0774193548389
2014-01-20,1067.0774193548389
2014-01-25,1067.0774193548389
2014-01-28,1067.0774193548389
2014-02-01,1027.355357142857
2014-02-05,1027.355357142857
2014-02-10,1027.355357142857
2014-02-15,1027.355357142857
2014-02-20,1027.355357142857
2014-02-25,1027.355357142857
2014-02-28,1027.355357142857
2014-03-01,1050.0274193548385
2014-03-05,1050.0274193548385
2014-03-10,1050.0274193548385
2014-03-15,1050.0274193548385
2014-03-20,1050.0274193548385
