date,res_res
2016-06-05,387716.0
2016-06-10,387716.0
2016-06-15,387716.0
2016-06-20,387716.0
2016-06-25,387716.0
2016-06-28,387716.0
2016-07-01,392756.0
2016-07-05,392756.0
2016-07-10,392756.0
2016-07-15,392756.0
2016-07-20,392756.0
2016-07-25,392756.0
2016-07-28,392756.0
2016-08-01,393912.0
2016-08-05,393912.0
2016-08-10,393912.0
2016-08-15,393912.0
2016-08-20,393912.0
2016-08-25,393912.0
2016-08-28,393912.0
2016-09-01,395198.0
2016-09-05,395198.0
2016-09-10,395198.0
2016-09-15,395198.0
2016-09-20,395198.0
2016-09-25,395198.0
2016-09-28,395198.0
2016-10-01,397743.0
2016-10-05,397743.0
2016-10-10,397743.0
2016-10-15,397743.0
2016-10-20,397743.0
2016-10-25,397743.0
2016-10-28,397743.0
2016-11-01,390741.0
2016-11-05,390741.0
2016-11-10,390741.0
2016-11-15,390741.0
2016-11-20,390741.0
2016-11-25,390741.0
2016-11-28,390741.0
2016-12-01,385288.0
2016-12-05,385288.0
2016-12-10,385288.0
2016-12-15,385288.0
2016-12-20,385288.0
2016-12-25,385288.0
2016-12-28,385288.0
2017-01-01,377741.0
2017-01-05,377741.0
2017-01-10,377741.0
2017-01-15,377741.0
2017-01-20,377741.0
2017-01-25,377741.0
2017-01-28,377741.0
2017-02-01,390585.0
2017-02-05,390585.0
2017-02-10,390585.0
2017-02-15,390585.0
2017-02-20,390585.0
2017-02-25,390585.0
2017-02-28,390585.0
2017-03-01,397334.0
2017-03-05,397334.0
2017-03-10,397334.0
2017-03-15,397334.0
2017-03-20,397334.0
2017-03-25,397334.0
2017-03-28,397334.0
2017-04-01,397907.0
2017-04-05,397907.0
2017-04-10,397907.0
2017-04-15,397907.0
2017-04-20,397907.0
2017-04-25,397907.0
2017-04-28,397907.0
2017-05-01,400998.0
2017-05-05,400998.0
2017-05-10,400998.0
2017-05-15,400998.0
2017-05-20,400998.0
2017-05-25,400998.0
2017-05-28,400998.0
2017-06-01,405721.0
2017-06-05,405721.0
2017-06-10,405721.0
2017-06-15,405721.0
2017-06-20,405721.0
2017-06-25,405721.0
2017-06-28,405721.0
2017-07-01,412239.0
2017-07-05,412239.0
2017-07-10,412239.0
2017-07-15,412239.0
2017-07-20,412239.0
2017-07-25,412239.0
2017-07-28,412239.0
2017-08-01,418447.0
2017-08-05,418447.0
2017-08-10,418447.0
2017-08-15,418447.0
2017-08-20,418447.0
2017-08-25,418447.0
2017-08-28,418447.0
2017-09-01,423978.0
2017-09-05,423978.0
2017-09-10,423978.0
2017-09-15,423978.0
2017-09-20,423978.0
2017-09-25,423978.0
2017-09-28,423978.0
2017-10-01,424766.0
2017-10-05,424766.0
2017-10-10,424766.0
2017-10-15,424766.0
2017-10-20,424766.0
2017-10-25,424766.0
2017-10-28,424766.0
2017-11-01,424857.0
2017-11-05,424857.0
2017-11-10,424857.0
2017-11-15,424857.0
2017-11-20,424857.0
2017-11-25,424857.0
2017-11-28,424857.0
2017-12-01,431636.0
2017-12-05,431636.0
2017-12-10,431636.0
2017-12-15,431636.0
2017-12-20,431636.0
2017-12-25,431636.0
2017-12-28,431636.0
2018-01-01,432742.0
2018-01-05,432742.0
2018-01-10,432742.0
2018-01-15,432742.0
2018-01-20,432742.0
2018-01-25,432742.0
2018-01-28,432742.0
2018-02-01,447735.0
2018-02-05,447735.0
2018-02-10,447735.0
2018-02-15,447735.0
