date,rep_vol
2016-04-20,2158387.0
2016-04-25,2158387.0
2016-04-28,2158387.0
2016-05-01,1845482.0
2016-05-05,1845482.0
2016-05-10,1845482.0
2016-05-15,1845482.0
2016-05-20,1845482.0
2016-05-25,1845482.0
2016-05-28,1845482.0
2016-06-01,1816139.0
2016-06-05,1816139.0
2016-06-10,1816139.0
2016-06-15,1816139.0
2016-06-20,1816139.0
2016-06-25,1816139.0
2016-06-28,1816139.0
2016-07-01,1642292.0
2016-07-05,1642292.0
2016-07-10,1642292.0
2016-07-15,1642292.0
2016-07-20,1642292.0
2016-07-25,1642292.0
2016-07-28,1642292.0
2016-08-01,1662933.0
2016-08-05,1662933.0
2016-08-10,1662933.0
2016-08-15,1662933.0
2016-08-20,1662933.0
2016-08-25,1662933.0
2016-08-28,1662933.0
2016-09-01,1197719.0
2016-09-05,1197719.0
2016-09-10,1197719.0
2016-09-15,1197719.0
2016-09-20,1197719.0
2016-09-25,1197719.0
2016-09-28,1197719.0
2016-10-01,1168806.0
2016-10-05,1168806.0
2016-10-10,1168806.0
2016-10-15,1168806.0
2016-10-20,1168806.0
2016-10-25,1168806.0
2016-10-28,1168806.0
2016-11-01,989119.0
2016-11-05,989119.0
2016-11-10,989119.0
2016-11-15,989119.0
2016-11-20,989119.0
2016-11-25,989119.0
2016-11-28,989119.0
2016-12-01,1038839.0
2016-12-05,1038839.0
2016-12-10,1038839.0
2016-12-15,1038839.0
2016-12-20,1038839.0
2016-12-25,1038839.0
2016-12-28,1038839.0
2017-01-01,1439783.0
2017-01-05,1439783.0
2017-01-10,1439783.0
2017-01-15,1439783.0
2017-01-20,1439783.0
2017-01-25,1439783.0
2017-01-28,1439783.0
2017-02-01,807053.0
2017-02-05,807053.0
2017-02-10,807053.0
2017-02-15,807053.0
2017-02-20,807053.0
2017-02-25,807053.0
2017-02-28,807053.0
2017-03-01,544205.0
2017-03-05,544205.0
2017-03-10,544205.0
2017-03-15,544205.0
2017-03-20,544205.0
2017-03-25,544205.0
2017-03-28,544205.0
2017-04-01,388764.0
2017-04-05,388764.0
2017-04-10,388764.0
2017-04-15,388764.0
2017-04-20,388764.0
2017-04-25,388764.0
2017-04-28,388764.0
2017-05-01,446837.0
2017-05-05,446837.0
2017-05-10,446837.0
2017-05-15,446837.0
2017-05-20,446837.0
2017-05-25,446837.0
2017-05-28,446837.0
2017-06-01,254312.0
2017-06-05,254312.0
2017-06-10,254312.0
2017-06-15,254312.0
2017-06-20,254312.0
2017-06-25,254312.0
2017-06-28,254312.0
2017-07-01,274859.0
2017-07-05,274859.0
2017-07-10,274859.0
2017-07-15,274859.0
2017-07-20,274859.0
2017-07-25,274859.0
2017-07-28,274859.0
2017-08-01,516430.0
2017-08-05,516430.0
2017-08-10,516430.0
2017-08-15,516430.0
2017-08-20,516430.0
2017-08-25,516430.0
2017-08-28,516430.0
2017-09-01,882382.0
2017-09-05,882382.0
2017-09-10,882382.0
2017-09-15,882382.0
2017-09-20,882382.0
2017-09-25,882382.0
2017-09-28,882382.0
2017-10-01,87059.0
2017-10-05,87059.0
2017-10-10,87059.0
2017-10-15,87059.0
2017-10-20,87059.0
