date,eur_rub
2017-10-25,67.6856
2017-10-28,67.5276
2017-11-01,67.6434
2017-11-10,68.7865
2017-11-15,69.6787
2017-11-25,69.3309
2017-11-28,69.4957
2017-12-01,69.5185
2017-12-05,69.9104
2017-12-15,69.4048
2017-12-20,69.1735
2017-12-28,68.2328
2018-01-10,68.2103
2018-01-20,69.3953
2018-01-25,69.4484
2018-02-01,69.9322
2018-02-10,71.3943
2018-02-15,71.2329
2018-02-20,69.9001
2018-02-28,68.6599
2018-03-01,68.9062
2018-03-15,70.5338
2018-03-20,70.6049
2018-03-28,71.2625
2018-04-05,70.958
2018-04-10,71.8847
2018-04-20,75.4034
2018-04-25,75.2121
2018-04-28,75.7605
2018-05-05,75.6392
2018-05-15,73.943
2018-05-25,72.0082
2018-06-01,72.5806
2018-06-05,72.4384
2018-06-10,73.3654
2018-06-15,73.5621
2018-06-20,74.1847
2018-06-28,73.6038
2018-07-05,73.7097
2018-07-10,73.9365
2018-07-20,73.4808
2018-07-25,73.5261
2018-07-28,73.3442
2018-08-01,73.0738
2018-08-10,76.825
2018-08-15,76.2325
2018-08-25,78.4072
2018-08-28,78.2269
2018-09-01,79.4966
2018-09-05,79.02
2018-09-15,79.9521
2018-09-20,78.3613
2018-09-25,77.6844
2018-09-28,77.0407
2018-10-05,76.0505
2018-10-10,76.211
2018-10-20,75.3241
2018-10-25,75.0806
2018-11-01,74.4189
2018-11-10,75.8076
2018-11-15,76.7556
2018-11-20,75.3218
2018-11-28,75.6217
2018-12-01,75.7484
2018-12-05,75.6562
2018-12-15,75.389
2018-12-20,76.4742
2018-12-25,77.8886
2018-12-28,78.388
2019-01-10,76.9066
2019-01-15,77.0692
2019-01-25,75.0306
2019-02-01,75.2006
2019-02-05,75.0565
2019-02-15,75.0471
2019-02-20,74.8151
2019-02-28,74.8249
2019-03-01,74.9691
2019-03-05,74.7438
2019-03-15,74.0613
2019-03-20,72.9995
2019-03-28,72.7182
2019-04-05,73.4223
2019-04-10,72.9708
2019-04-20,71.9232
2019-04-25,71.715
2019-05-01,72.3096
2019-05-15,73.3712
2019-05-25,72.3186
2019-05-28,72.1863
2019-06-01,72.8436
2019-06-05,73.4239
2019-06-15,72.6993
2019-06-20,71.6377
2019-06-25,71.5973
2019-06-28,71.6635
2019-07-05,71.542
2019-07-10,71.4626
2019-07-20,70.7941
2019-07-25,70.3241
2019-08-01,70.7355
2019-08-10,73.0196
2019-08-15,72.9037
2019-08-20,73.9484
2019-08-28,73.6091
2019-09-05,73.0638
2019-09-10,72.33
2019-09-20,70.9373
2019-09-25,70.0193
2019-09-28,70.3161
2019-10-01,70.7169
2019-10-05,71.3509
2019-10-10,71.4511
2019-10-15,70.9305
2019-10-25,71.14
2019-11-01,71.1918
2019-11-15,70.6761
2019-11-20,70.6286
2019-11-28,70.4398
2019-12-05,71.1086
2019-12-10,70.5047
2019-12-20,69.5877
2019-12-25,68.9062
2019-12-28,69.0349
2020-01-01,69.3777
2020-01-10,68.0555
2020-01-15,68.4213
2020-01-25,68.2924
2020-01-28,68.7775
2020-02-01,69.5976
2020-02-05,70.1265
2020-02-15,68.771
2020-02-20,68.7823
2020-02-28,71.6458
2020-03-05,73.7369
2020-03-20,87.2669
2020-03-25,85.4253
2020-03-28,85.7389
2020-04-10,81.0882
2020-04-15,80.1186
2020-04-25,80.2528
2020-04-28,80.7611
2020-05-01,79.1189
2020-05-15,79.9033
2020-05-20,79.1677
2020-05-28,77.9069
2020-06-05,77.3245
2020-06-10,77.3481
2020-06-20,78.0047
2020-06-25,77.759
2020-07-01,78.9929
2020-07-10,80.4134
2020-07-15,80.623
2020-07-25,83.1031
2020-07-28,83.7759
2020-08-01,87.2889
2020-08-05,86.5011
2020-08-15,86.4092
