date,bas_dep
2014-08-20,36930354.0
2014-08-25,36930354.0
2014-08-28,36930354.0
2014-09-01,37373009.0
2014-09-05,37373009.0
2014-09-10,37373009.0
2014-09-15,37373009.0
2014-09-20,37373009.0
2014-09-25,37373009.0
2014-09-28,37373009.0
2014-10-01,37937905.0
2014-10-05,37937905.0
2014-10-10,37937905.0
2014-10-15,37937905.0
2014-10-20,37937905.0
2014-10-25,37937905.0
2014-10-28,37937905.0
2014-11-01,39400841.0
2014-11-05,39400841.0
2014-11-10,39400841.0
2014-11-15,39400841.0
2014-11-20,39400841.0
2014-11-25,39400841.0
2014-11-28,39400841.0
2014-12-01,41167719.0
2014-12-05,41167719.0
2014-12-10,41167719.0
2014-12-15,41167719.0
2014-12-20,41167719.0
2014-12-25,41167719.0
2014-12-28,41167719.0
2015-01-01,42658289.0
2015-01-05,42658289.0
2015-01-10,42658289.0
2015-01-15,42658289.0
2015-01-20,42658289.0
2015-01-25,42658289.0
2015-01-28,42658289.0
2015-02-01,47174626.0
2015-02-05,47174626.0
2015-02-10,47174626.0
2015-02-15,47174626.0
2015-02-20,47174626.0
2015-02-25,47174626.0
2015-02-28,47174626.0
2015-03-01,44878561.0
2015-03-05,44878561.0
2015-03-10,44878561.0
2015-03-15,44878561.0
2015-03-20,44878561.0
2015-03-25,44878561.0
2015-03-28,44878561.0
2015-04-01,44005909.0
2015-04-05,44005909.0
2015-04-10,44005909.0
2015-04-15,44005909.0
2015-04-20,44005909.0
2015-04-25,44005909.0
2015-04-28,44005909.0
2015-05-01,42771686.0
2015-05-05,42771686.0
2015-05-10,42771686.0
2015-05-15,42771686.0
2015-05-20,42771686.0
2015-05-25,42771686.0
2015-05-28,42771686.0
2015-06-01,43169947.0
2015-06-05,43169947.0
2015-06-10,43169947.0
2015-06-15,43169947.0
2015-06-20,43169947.0
2015-06-25,43169947.0
2015-06-28,43169947.0
2015-07-01,44123777.0
2015-07-05,44123777.0
2015-07-10,44123777.0
2015-07-15,44123777.0
2015-07-20,44123777.0
2015-07-25,44123777.0
2015-07-28,44123777.0
2015-08-01,45076653.0
2015-08-05,45076653.0
2015-08-10,45076653.0
2015-08-15,45076653.0
2015-08-20,45076653.0
2015-08-25,45076653.0
2015-08-28,45076653.0
2015-09-01,47852607.0
2015-09-05,47852607.0
2015-09-10,47852607.0
2015-09-15,47852607.0
2015-09-20,47852607.0
2015-09-25,47852607.0
2015-09-28,47852607.0
2015-10-01,48782129.0
2015-10-05,48782129.0
2015-10-10,48782129.0
2015-10-15,48782129.0
2015-10-20,48782129.0
2015-10-25,48782129.0
2015-10-28,48782129.0
2015-11-01,48505199.0
2015-11-05,48505199.0
2015-11-10,48505199.0
2015-11-15,48505199.0
2015-11-20,48505199.0
2015-11-25,48505199.0
2015-11-28,48505199.0
2015-12-01,49389072.0
2015-12-05,49389072.0
2015-12-10,49389072.0
2015-12-15,49389072.0
2015-12-20,49389072.0
2015-12-25,49389072.0
2015-12-28,49389072.0
2016-01-01,51590202.0
2016-01-05,51590202.0
2016-01-10,51590202.0
2016-01-15,51590202.0
2016-01-20,51590202.0
2016-01-25,51590202.0
