date,sal_vol
2017-12-15,473.5
2017-12-20,412.8
2017-12-25,482.5
2017-12-28,745.1
2018-01-10,1679.9
2018-01-15,190.2
2018-01-25,294.9
2018-02-01,209.7
2018-02-05,727.8
2018-02-15,158.7
2018-02-20,168.7
2018-02-28,291.9
2018-03-01,158.1
2018-03-05,401.9
2018-03-15,125.4
2018-03-20,140.4
2018-03-28,740.2
2018-04-05,154.6
2018-04-10,627.0
2018-04-20,351.2
2018-04-25,512.1
2018-04-28,165.7
2018-05-10,982.9
2018-05-15,140.2
2018-05-25,670.2
2018-05-28,152.0
2018-06-01,136.9
2018-06-05,903.0
2018-06-15,143.6
2018-06-20,284.3
2018-06-25,184.2
2018-06-28,168.2
2018-07-05,190.2
2018-07-10,1003.3
2018-07-20,161.5
2018-07-25,280.5
2018-08-01,553.7
2018-08-10,167.7
2018-08-15,591.9
2018-08-20,204.6
2018-08-28,3.9
2018-09-05,861.3
2018-09-10,-236.8
2018-09-20,-101.6
2018-09-25,10.2
2018-09-28,-205.4
2018-10-01,118.6
2018-10-05,54.4
2018-10-10,1194.7
2018-10-15,-195.1
2018-10-25,-113.3
2018-11-01,-242.4
2018-11-15,-67.2
2018-11-20,-69.6
2018-11-28,-20.4
2018-12-05,485.8
2018-12-10,6.9
2018-12-20,-68.0
2018-12-25,119.0
2018-12-28,215.5
2019-01-10,182.1
2019-01-15,147.6
2019-01-25,146.2
2019-01-28,128.2
2019-02-01,135.6
2019-02-05,1458.4
2019-02-15,116.7
2019-02-20,585.6
2019-02-25,160.1
2019-02-28,138.3
2019-03-01,481.2
2019-03-05,865.8
2019-03-15,99.7
2019-03-20,-36.5
2019-03-25,133.9
2019-03-28,135.7
2019-04-01,98.9
2019-04-05,112.3
2019-04-10,911.5
2019-04-15,115.2
2019-04-25,191.3
2019-05-15,297.3
2019-05-20,147.7
2019-05-28,166.2
2019-06-05,344.3
2019-06-10,135.1
2019-06-20,119.8
2019-06-25,126.0
2019-06-28,128.5
2019-07-01,137.1
2019-07-05,163.7
2019-07-10,841.3
2019-07-15,136.5
2019-07-25,258.5
2019-08-01,122.9
2019-08-05,138.4
2019-08-15,120.9
2019-08-20,136.5
2019-08-28,222.7
2019-09-05,167.3
2019-09-10,160.0
2019-09-20,134.4
2019-09-25,644.1
2019-10-01,135.0
2019-10-10,110.8
2019-10-15,129.8
2019-10-25,181.6
2019-10-28,162.2
2019-11-01,118.7
2019-11-05,161.9
2019-11-15,110.1
2019-11-20,365.6
2019-11-25,119.2
2019-11-28,111.1
2019-12-05,123.1
2019-12-10,1000.7
2019-12-20,149.9
2019-12-25,780.1
