,Ар1.0,Ар1.1,Ар1.2,Ар2.0,Ар2.1,Ар2.2,Ар3.0,Ар3.1,Ар3.2,Ар4.0,Ар4.1,Ар4.2,Ар5.0,Ар5.1,Ар5.2,Ариск0,БК,Кф,Кинс,Крд,КРФмп0,КРФрп0,КРФсп0,КРФмп1,КРФрп1,КРФсп1,КРФмп2,КРФрп2,КРФсп2,Крис,Кскр,Лам,Лат,ОД,Овм,Овт,ПК0,ПК1,ПК2,РР0,РР1,РР2,ПР0,ПР1,ОПР1,СПР1,ФР1,ОФР1,СФР1,ОПР0,ПР2,ОПР2,СПР2,ФР2,ОФР2,СФР2,СПР0,ФР0,ОФР0,ТР,ОТР,ДТР,ГВР(ТР),ГВР(ВР),ГВР(ПР),ГВР(ФР),СФР0,ВР,Ф,Кбр,Кр,Кз,Лат1,О,ВО,Лат1.1
2168,"426278,00","426278,00","426278,00","832773,00","832773,00","832773,00","0,00","0,00","0,00","124088149,00","124088149,00","124088149,00","0,00","0,00","0,00","426278,00","0,00","1,00","0,00","75944151,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","184,00","0,00","4554989,00","9146220,00","45800000,00","5280840,00","12765050,00","21279,00","21279,00","21279,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",,,,,,,,
2170,"1077949,00","1077949,00","1077949,00","4733,00","4733,00","4733,00","0,00","0,00","0,00","1505907,00","1505907,00","1505907,00","5558,00","5558,00","5558,00","1077949,00","1590373,00","1,00","0,00","1241455,00","0,00","0,00","1524145,00","0,00","0,00","1524145,00","0,00","0,00","1524145,00","2438,00","1951500,00","2900882,00","3967876,00","0,00","1908987,00","1946998,00","1389075,00","1389075,00","1389075,00","4269638,00","4269638,00","4269638,00","186456,00","186456,00","8571,00","177885,00","116524,00","58262,00","58262,00","8571,00","186456,00","8571,00","177885,00","116524,00","58262,00","58262,00","177885,00","116524,00","58262,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","58262,00","38591,00",,,,,,,,
2208,"1117546,00","1117546,00","1117546,00","136526,00","136526,00","136526,00",,,,"4169632,00","4169626,00","4169626,00",,,,"1117546,00",,"0,99",,"3737834,00",,,,,,,,,,"3414,00","4620598,00","1276934,00","5094294,00","2488784,00","1686647,00","2507940,00","1060321,00","1060321,00","1060321,00","4221097,00","4221097,00","4221097,00","332337,34","332337,34","108016,44","224320,90","54,68","27,34","27,34","108016,44","332337,34","108016,44","224320,90","54,68","27,34","27,34","224320,90","54,68","27,34","0,00","0,00","0,00","0,00","0,00","0,00","0,00","27,34","5295,73",,,,,,,,
2209,"210606131,00","210606131,00","210606131,00","34473127,00","34473127,00","34473127,00","422045,00","422045,00","422045,00","607538299,00","605638789,00","605714410,00","0,00","0,00","0,00","409932498,00","109771295,00","1,00","27571728,00","408432169,00","0,00","0,00","0,00","0,00","0,00","15533019,00","0,00","0,00","0,00","899140,00","391030232,00","368767716,00","855009775,00","32015959,00","400109075,00","569306844,00","209086960,00","209086960,00","209086960,00","180152501,00","180287201,00","180152501,00","6478123,63","6488899,61","2241460,86","4247438,75","7173873,80","3586936,90","3586936,90","2239759,39","6478123,63","2239759,39","4238364,24","7173873,80","3586936,90","3586936,90","4238364,24","7173873,80","3586936,90","89844,78","1147,14","85386,42","3311,22","17689,64","0,00","0,00","3586936,90","670357,86",,,,,,,,
2210,"33598820,00","33598820,00","33598820,00","4209217,00","4209217,00","4209217,00","267,00","267,00","267,00","74597364,00","74336438,00","74336438,00","29417,00","29417,00","29417,00","53603890,00","769573,00","1,00","404460,00","41345886,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","119717,00","36383076,00","34315455,00","72599728,00","26264129,00","36176884,00","54724257,00","13818420,00","13818420,00","13818420,00","13553925,00","13553925,00","13553925,00","972472,00","972472,00","512511,00","459961,00","14644,00","497,00","497,00","512511,00","972472,00","512511,00","459961,00","14644,00","497,00","497,00","459961,00","14644,00","497,00","297,00","248,00","49,00","0,00","0,00","0,00","13650,00","497,00","96901,00",,,,,,,,
2216,"5028919,00","5028919,00","5028919,00","2394771,00","2394771,00","2394771,00","0,00","0,00","0,00","26939992,00","26762098,00","26762098,00","2278646,00","2278646,00","2278646,00","5028919,00","385640,00","1,00","0,00","12991453,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","25850,00","28408411,00","16056303,00","17731754,00","7867658,00","15044272,00","20438332,00","4702176,00","4702176,00","4702176,00","797762,00","797762,00","797762,00","18430,48","18430,48","18430,48","0,00","0,00","0,00","0,00","18430,48","18430,48","18430,48","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","45390,51",,,,,,,,
2225,"17432123,00","17432123,00","17432123,00","129735,00","129735,00","129735,00","2139,00","2139,00","2139,00","69017940,00","66967415,00","66967415,00",,,,"17432123,00",,"1,01","5997,00","60012548,00",,,,,,,,,,"105127,00","6148717,00","17845194,00","20292987,00","37341152,00","25260776,00","30639522,00","10080019,00","10080019,00","10080019,00",,,,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",,,,,,,,
2241,"19305995,00","19305995,00","19305995,00","2154666,00","2154666,00","2154666,00","3887,00","3887,00","3887,00","14133005,00","14133005,00","14133005,00","140664,00","140664,00","140664,00","19305995,00","770558,00","0,96","0,00","1983,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","469,00","5115574,00","13882041,00","30939080,00","192790,00","34587840,00","35070920,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",,,,,,,,
2245,"288105,00",,"288105,00","43695,00",,"43695,00","101,00",,"101,00","448635,00",,"448635,00","0,00",,"0,00","288105,00","0,00","0,99",,,"0,00","0,00","0,00",,,,"0,00","0,00","0,00",,,"315159,00","535205,00",,,"520560,00","4570,00",,"4570,00","0,00",,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",,,,,,,,
2249,"363519,00","363519,00","363519,00","114863,00","114863,00","114863,00",,,,"839651,00","767037,00","767037,00",,,,"363519,00",,"0,95",,"553894,00",,,,,,,,,,"83,00","3738324,00","981075,00","992424,00",,"164002,00","227695,00","774533,00","774533,00","774533,00","69807,00","69807,00","69807,00","0,00","0,00","0,00","0,00",,,,"0,00","0,00","0,00","0,00",,,,"0,00",,,,,,,,,,,"5584,56",,,,,,,,
