Unnamed: 0,Ар1.0,Ар2.0,Ар4.0,Ариск0,Кф,Лат,Овт,ПК0,ВР,target
3116,367565.0,0.0,249808.0,367565.0,1.0,595571.0,362762.0,76715.0,0.0,0
3122,118351.0,5.0,504330.0,118351.0,0.95,463054.0,246324.0,38061.0,1542.0,0
3124,5276575.0,157343.0,14890718.0,5276575.0,1.09,6056111.0,8072214.0,5892178.0,9828.08,0
3136,64867.0,1776.0,365064.0,64867.0,0.94,105555.0,85560.0,61752.0,2165.34,0
3138,581018.0,199262.0,7363573.0,581018.0,1.01,1401194.0,1850113.0,1318573.0,0.0,0
3161,4725831.0,215447.0,4307309.0,4725831.0,1.0,4577865.0,5330991.0,557972.0,0.0,0
3172,2863086.0,48563.0,969932.0,2863086.0,0.97,3579465.0,2205235.0,279328.0,2758.63,0
3175,1140214.0,2146.0,3077782.0,1140214.0,0.9,2900009.0,3111496.0,119665.0,0.0,0
3185,658324.0,354790.0,9512499.0,658324.0,0.95,3162924.0,2985857.0,1487099.0,0.0,0
3194,261780.0,97544.0,2579259.0,261780.0,1.0,2590394.0,1578792.0,155443.0,12510.0,0
3202,330595.0,62097.0,2202217.0,330595.0,0.87,857293.0,602536.0,1409480.0,8547.63,0
3207,412734.0,19661.0,723806.0,412734.0,0.98,325756.0,450795.0,127095.0,0.0,0
3209,1706084.0,14095.0,219446.0,1706084.0,1.0,1734677.0,1420629.0,7240.0,0.0,0
3223,861312.0,65.0,1275098.0,861312.0,1.0,959713.0,487195.0,411332.0,596.4,0
3224,9262875.0,2915.0,250104.0,9262875.0,1.0,12992166.0,14550706.0,0.0,0.0,0
3231,360661.0,39989.0,423684.0,360661.0,0.95,662080.0,473630.0,173501.0,1861.19,0
3242,15505.0,60221.0,3657.0,15505.0,1.0,0.0,0.0,0.0,0.0,0
3245,908562.0,32312.0,4115261.0,904642.0,1.0,1378010.0,2205943.0,58879.0,0.0,0
3247,3167970.0,18720.0,1066103.0,3167970.0,0.98,3410969.0,979648.0,222083.0,9366.94,0
3252,1544287.0,416414.0,41613438.0,1544287.0,1.0,6526192.0,9369587.0,8613709.0,719.34,0
3257,336789.0,145955.0,945353.0,336789.0,0.97,1464859.0,1067705.0,310280.0,0.0,0
3265,509555.0,41433.0,2850365.0,509555.0,1.0,803904.0,1362947.0,1138253.0,1825.6,0
3266,857545.0,40393.0,10704026.0,1391603.0,0.95,1682309.0,2616054.0,9671662.0,0.0,0
3269,2861454.0,144058.0,8184530.0,2861454.0,1.0,6421445.0,5747901.0,927741.0,0.0,0
3271,735653.0,130635.0,709323.0,735653.0,1.0,1113553.0,922902.0,31782.0,0.0,0
3290,33844687.0,4164459.0,5083543.0,33844687.0,1.05,53878290.0,50607725.0,4795252.0,24018.7,0
3293,6359347.0,5028.0,1088673.0,6359347.0,1.0,8900937.0,2994671.0,408702.0,0.0,0
3296,1016595.0,27589.0,1364056.0,1016595.0,0.89,1450249.0,679990.0,186060.0,1583.1,0
330,703753.0,18426.0,994270.0,703753.0,1.0,944956.0,703059.0,97090.0,0.0,0
3303,1921205.0,242190.0,3022747.0,1921205.0,1.03,3432803.0,3010784.0,102384.0,6052.42,0
3312,157332.0,54578.0,500816.0,157332.0,1.01,1452433.0,507597.0,6261.0,2069.2,0
3314,546582.0,164305.0,119827.0,546582.0,1.0,0.0,0.0,0.0,0.0,0
3330,1719560.0,163092.0,6769851.0,1719560.0,0.97,5798915.0,6936151.0,3819536.0,0.0,0
3333,13106821.0,9996265.0,5055821.0,13106821.0,1.0,42324604.0,40809389.0,1526446.0,34049.1,0
3337,13841647.0,14598664.0,10751296.0,13841647.0,0.99,41254698.0,45447644.0,3121022.0,0.0,0
3344,986327.0,626143.0,3061007.0,986327.0,1.12,10145909.0,5982871.0,1423875.0,0.0,0
3351,212663.0,316826.0,1356359.0,447996.0,0.97,2991826.0,2644180.0,39363.0,0.0,0
3365,2999280.0,964421.0,6417559.0,2999280.0,1.0,14224404.0,4366575.0,4530490.0,0.0,0
3379,452336.0,19011.0,322976.0,452336.0,1.0,603288.0,533027.0,0.0,0.0,0
3388,31175527.0,114209.0,21818092.0,31175527.0,1.0,70379032.0,58267193.0,8897960.0,25722.14,0
3390,1480631.0,3859245.0,4924611.0,1480631.0,0.98,8647052.0,3747841.0,1546040.0,0.0,0
3395,1378248.0,227232.0,4768539.0,1378248.0,1.0,5214848.0,750506.0,886894.0,24045.23,0
3397,371727.0,97438.0,569680.0,371727.0,1.0,1327547.0,640719.0,94153.0,0.0,0
3407,19251337.0,5389193.0,1741186.0,19251337.0,1.09,37951911.0,29998100.0,3375329.0,17223.31,0
3413,973676.0,0.0,862257.0,973676.0,1.0,971661.0,269263.0,381726.0,0.0,0
3415,474553.0,47538.0,281109.0,474553.0,1.0,816824.0,572250.0,17151.0,0.0,0
3416,1202439.0,39789.0,1393649.0,1202439.0,0.95,1687481.0,604500.0,182282.0,0.0,0
3417,1562204.0,40344.0,1410045.0,1562204.0,0.99,2369775.0,2111154.0,158870.0,0.0,0
3421,2083200.0,42126.0,17172002.0,2083200.0,1.0,9556549.0,6180253.0,7142513.0,0.0,0
3427,139178.0,382.0,38650.0,139178.0,0.94,0.0,0.0,0.0,0.0,0
3436,140280.0,486.0,1946678.0,140280.0,0.98,714787.0,707704.0,1105251.0,5197.83,0
3437,83789.0,41254.0,7180201.0,83789.0,1.0,2065357.0,1528235.0,3785167.0,0.0,0
3446,1394557.0,5172.0,1011181.0,2337800.0,1.0,3429100.0,993867.0,0.0,7304.49,0
3450,1049698.0,303818.0,764340.0,1049698.0,1.0,11073697.0,15062207.0,182303.0,6749.13,0
3452,96925.0,2791.0,164432.0,96925.0,1.0,116114.0,34699.0,41256.0,1117.67,0
3454,7936038.0,10815.0,1312547.0,7936038.0,0.99,0.0,0.0,0.0,3.3,0
3460,24431.0,197333.0,159087.0,24431.0,1.0,797011.0,344682.0,397231.0,0.0,0
3463,235052.0,713510.0,335506.0,235052.0,1.0,4299578.0,93483.0,0.0,0.0,0
3465,28452008.0,9752027.0,1051054.0,28452008.0,1.0,40034051.0,35335505.0,0.0,0.0,0
3467,1091531.0,38779.0,1984071.0,1091531.0,0.92,2085363.0,1608480.0,1472.0,9267.28,0
3468,2780614.0,70019.0,142247.0,2780614.0,1.0,3118799.0,1803694.0,7514.0,0.0,0
3470,5260558.0,8844.0,68499866.0,5260558.0,1.0,9923402.0,3770136.0,61247.0,0.0,0
3473,671536.0,917946.0,19495822.0,671536.0,0.99,6142683.0,3385405.0,254079.0,0.0,0
3475,15224765.0,2417744.0,30086722.0,15224765.0,1.0,31293618.0,38436020.0,296793.0,56254.08,0
3479,1903502.0,1935447.0,3953840.0,1903502.0,0.98,9167477.0,10797039.0,237557.0,0.0,0
3481,1529792.0,72138.0,268944.0,1529792.0,0.94,2050627.0,14157.0,578217.0,0.0,0
3482,2728327.0,1913056.0,36446232.0,2728327.0,0.99,11426617.0,12869571.0,174263.0,21084.89,0
3486,955334.0,17964.0,328624.0,955334.0,1.0,0.0,0.0,2073.0,0.0,0
3490,14246913.0,33047.0,751936.0,14246913.0,0.87,41877976.0,16777592.0,0.0,0.0,0
3494,21918692.0,8747758.0,9243386.0,21918692.0,1.0,43068353.0,48386245.0,0.0,0.0,0
3499,1570872.0,261132.0,839272.0,1570872.0,1.0,3276226.0,3329712.0,0.0,174.61,0
3500,3157443.0,1205784.0,33961250.0,3157443.0,0.96,4386714.0,4003027.0,6909.0,0.0,0
3510,15678537.0,62387.0,1707051.0,15547316.0,0.97,0.0,0.0,0.0,0.0,0
3511,710805.0,34477.0,88112.0,588475.0,0.94,0.0,0.0,0.0,0.0,0
3512,686574.0,42879.0,51361.0,686574.0,1.0,0.0,0.0,0.0,701.08,0
3515,2203058.0,1681872.0,10103077.0,2203058.0,1.0,13562081.0,14964104.0,142767.0,11563.62,0
3516,143193.0,826.0,1831297.0,143193.0,1.0,206234.0,24824.0,310.0,0.0,0
