,Ариск0,АРБ0,АРС0,АРЦК0,АРпр0,АРБ1,АРС1,АРЦК1,АРпр1,АРБ2,АРС2,АРЦК2,АРпр2,АРФЛ,АРкорп,АРМБР,АРМСП,БК2.0,БК2.1,БК2.2,Метод,ПК2.0,ПК2.1,ПК2.2,Кф,Кинс,Крд,КРФмп0,КРФрп0,КРФсп0,КРФмп1,КРФрп1,КРФсп1,КРФмп2,КРФрп2,КРФсп2,Кскр,Лам,Лат,ОД,Овм,Овт,РР0,РР1,РР2,ПР0,ПР1,ОПР1,СПР1,ФР1,ОФР1,СФР1,ОПР0,ПР2,ОПР2,СПР2,ФР2,ОФР2,СФР2,СПР0,ФР0,ОФР0,ТР,ОТР,ДТР,ГВР(ТР),ГВР(ВР),ГВР(ПР),ГВР(ФР),СФР0,ВР,Ар1.0,Ар1.2,Ар2.0,Ар2.2,Ар4.0,Ар4.2,БК,ПК0,ПК2,Ар1.1,Ар2.1,Ар4.1,ПК1,Ар3.0,Ар3.1,Ар3.2,Ар5.0,Ар5.2,Ар5.1,Ф,Кбр,Кр,Кз,Лат1,О,ВО,Лат1.1
2209,463224810.0,14446380.0,6695486.0,2795548.0,122509055.0,14446380.0,6695486.0,2795548.0,122515782.0,14446380.0,6695486.0,2795548.0,118341102.0,316219791.0,829391042.0,366004.0,23970896.0,126741456.0,126741456.0,126741456.0,2.0,158343464.0,158343464.0,158343464.0,0.0,31354627.0,873384242.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,705625278.0,622099992.0,817757236.0,72928605.0,719473021.0,1023536874.0,200564263.0,200564263.0,200564263.0,4134594.01,4134594.01,1267677.85,2745830.24,11529621.28,5764810.64,5764810.64,1267677.85,4134594.01,1267677.85,2745830.24,11529621.28,5764810.64,5764810.64,2745830.24,11529621.28,5764810.64,380925.75,361.27,380564.48,0.0,0.0,121085.92,0.0,5764810.64,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2210,45128189.0,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,404460.0,43758580.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42358819.0,37092412.0,63547579.0,20699614.0,46325577.0,67609466.0,6502938.0,6502938.0,6502938.0,359538.0,359538.0,95815.0,263723.0,9886.0,800.0,800.0,95815.0,359538.0,95815.0,263723.0,9886.0,800.0,800.0,263723.0,9886.0,800.0,49507.0,41256.0,8251.0,0.0,0.0,0.0,8286.0,800.0,101304.0,32091711.0,32091711.0,6269867.0,6269867.0,82993734.0,82822161.0,37500.0,18675470.0,18675470.0,32091711.0,6269867.0,82822161.0,18675470.0,1004071.0,1004071.0,1004071.0,24186.0,24186.0,24186.0,,,,,,,,
2216,3365571.0,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,0.0,26443519.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46677432.0,15122481.0,16103804.0,16637976.0,14449490.0,17844963.0,1208550.0,1208550.0,1208550.0,54212.91,54212.91,54212.91,0.0,0.0,0.0,0.0,54212.91,54212.91,54212.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42471.07,3365770.0,3365770.0,2152635.0,2152635.0,40819970.0,40439982.0,0.0,2624727.0,2624727.0,3365770.0,2152635.0,40439982.0,2624727.0,54.0,54.0,54.0,0.0,0.0,0.0,,,,,,,,
2225,16088141.0,,,,,,,,,,,,,,,,,,,,1.0,,,,1.01,25843.0,59725976.0,,,,,,,,,,1440073.0,9498234.0,17709205.0,59491648.0,25343396.0,26822852.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16088141.0,16088141.0,373666.0,373666.0,71925842.0,69982607.0,,12992336.0,12992336.0,16088141.0,373666.0,69982674.0,12992336.0,0.0,0.0,0.0,,,,,,,,,,,
2241,12720992.0,,,,,,,,,,,,,,,,,,,,1.0,,,,0.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5054945.0,16594306.0,34539747.0,20.0,32358249.0,33196863.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13863427.0,13863427.0,3517282.0,3517282.0,15371042.0,15371042.0,574185.0,0.0,0.0,13863427.0,3517282.0,15371042.0,0.0,206383.0,206383.0,206383.0,609354.0,609354.0,609354.0,,,,,,,,
2245,149227.0,,,,,,,,,,,,,,,,,,,,1.0,,,,0.97,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,,188508.0,248539.0,,,325185.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,149227.0,149227.0,19061.0,19061.0,558441.0,558441.0,0.0,2453.0,2453.0,,,,,0.0,,0.0,0.0,0.0,,,,,,,,,
2249,277608.0,,,,,,,,,,,,,,,,,,,,1.0,,,,0.87,59594.0,386972.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3202993.0,968407.0,975317.0,0.0,260608.0,261261.0,109943.0,109943.0,109943.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8795.47,277608.0,277608.0,111996.0,111996.0,956836.0,956836.0,0.0,764845.0,764845.0,277608.0,111996.0,956836.0,764845.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
2252,928749.0,,,,,,,,,,,,,,,,,,,,1.0,,,,0.92,0.0,1210582.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5496775.0,735920.0,1287333.0,414895.0,247920.0,301438.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,928749.0,928749.0,27677.0,27677.0,978162.0,978162.0,0.0,1325111.0,1325111.0,928749.0,27677.0,978162.0,1325111.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
2254,59512.0,,,,,,,,,,,,,,,,,,,,1.0,,,,1.15,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,,63361.0,133504.0,,,169616.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59512.0,59512.0,524.0,524.0,230231.0,227520.0,0.0,669677.0,669677.0,,,,,0.0,,0.0,0.0,0.0,,,,,,,,,
2268,14253099.0,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,0.0,60647872.0,0.0,0.0,2017170.0,0.0,0.0,2017170.0,0.0,0.0,2017170.0,26322264.0,54967064.0,83980965.0,687316.0,78674687.0,92495140.0,15103634.0,15103634.0,15103634.0,1208290.68,1208290.68,192687.29,1015603.39,0.0,0.0,0.0,192687.29,1208290.68,192687.29,1015603.39,0.0,0.0,0.0,1015603.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14253099.0,14253099.0,9169335.0,9169335.0,122796245.0,122777787.0,0.0,10053420.0,10053420.0,14253099.0,9169335.0,122777787.0,10053420.0,5022.0,5022.0,5022.0,0.0,0.0,0.0,,,,,,,,
