,Ар1.0,Ар1.1,Ар1.2,Ар2.0,Ар2.1,Ар2.2,Ар3.0,Ар3.1,Ар3.2,Ар4.0,Ар4.1,Ар4.2,Ар5.0,Ар5.1,Ар5.2,Ариск0,БК,Метод,Кф,Кинс,Крд,КРФмп0,КРФрп0,КРФсп0,КРФмп1,КРФрп1,КРФсп1,КРФмп2,КРФрп2,КРФсп2,Кскр,Лам,Лат,ОД,Овм,Овт,ПК0,ПК1,ПК2,РР0,РР1,РР2,ПР0,ПР1,ОПР1,СПР1,ФР1,ОФР1,СФР1,ОПР0,ПР2,ОПР2,СПР2,ФР2,ОФР2,СФР2,СПР0,ФР0,ОФР0,ТР,ОТР,ДТР,ГВР(ТР),ГВР(ВР),ГВР(ПР),ГВР(ФР),СФР0,ВР,АРБ0,АРС0,АРЦК0,АРпр0,АРБ1,АРС1,АРЦК1,АРпр1,АРБ2,АРС2,АРЦК2,АРпр2,АРФЛ,АРкорп,АРМБР,АРМСП,БК2.0,БК2.1,БК2.2,ПК2.0,ПК2.1,ПК2.2,Ф,Кбр,Кр,Кз,Лат1,О,ВО,Лат1.1
3452,64315.0,,64315.0,11451.0,,11451.0,0.0,,0.0,285083.0,,285083.0,0.0,,0.0,64315.0,0.0,1.0,1.0,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,,76465.0,126787.0,,,98581.0,41256.0,,41256.0,10632.0,,10632.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,850.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3454,5297839.0,,,337676.0,,,0.0,,,1498237.0,,,0.0,,,5297839.0,0.0,,0.99,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,27.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.12,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,7222741.0,6735762.0,0.0,
3456,4594894.0,4594894.0,4594894.0,54927.0,54927.0,54927.0,0.0,0.0,0.0,266483.0,266483.0,266483.0,0.0,0.0,0.0,4594894.0,0.0,1.0,1.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,231993.0,8096802.0,8629467.0,0.0,2320862.0,2339484.0,28.0,28.0,28.0,126150.0,126150.0,126150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10092.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3460,99090.0,99090.0,99090.0,257653.0,257653.0,257653.0,0.0,0.0,0.0,327186.0,327186.0,327186.0,0.0,0.0,0.0,99090.0,0.0,1.0,0.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1317491.0,743564.0,928993.0,0.0,749671.0,837552.0,1235895.0,1235895.0,1235895.0,575.0,575.0,575.0,0.0,0.0,0.0,0.0,46.0,23.0,23.0,0.0,0.0,0.0,0.0,46.0,23.0,23.0,0.0,46.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3463,182756.0,182756.0,182756.0,795562.0,795562.0,795562.0,0.0,0.0,0.0,384181.0,384181.0,384181.0,0.0,0.0,0.0,182756.0,0.0,1.0,1.0,0.0,44104.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,154561.0,4480713.0,4041144.0,0.0,501.0,33836.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3465,24584585.0,24584585.0,24584585.0,10323940.0,10323940.0,10323940.0,0.0,0.0,0.0,652224.0,652224.0,652224.0,0.0,0.0,0.0,24584585.0,0.0,1.0,1.0,0.0,7355952.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6745366.0,26795712.0,40893054.0,3718535.0,11793344.0,38138099.0,0.0,0.0,0.0,18847.0,18847.0,18847.0,1507.74,1507.74,1507.74,0.0,0.0,0.0,0.0,1507.74,1507.74,1507.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3467,1114744.0,1114744.0,1114744.0,61253.0,61253.0,61253.0,1217.0,1217.0,1217.0,2320515.0,2320515.0,2320515.0,119805.0,119805.0,119805.0,1114744.0,0.0,1.0,1.0,0.0,86502.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300291.0,1287958.0,2347176.0,0.0,1846637.0,1872489.0,1472.0,1472.0,1472.0,115326.0,115326.0,115326.0,2872.04,2872.04,1439.59,1432.45,0.0,0.0,0.0,1439.59,2872.04,1439.59,1432.45,0.0,0.0,0.0,1432.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6354.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3468,2335814.0,2335814.0,2335814.0,40099.0,40099.0,40099.0,,,,191535.0,191535.0,191535.0,,,,2335814.0,,1.0,1.0,,123812.0,,,,,,,,,,656718.0,373107.0,2531491.0,80000.0,1300131.0,1471642.0,8085.0,8085.0,8085.0,520797.0,520797.0,520797.0,41655.6,41655.6,5450.32,36205.28,8.16,4.08,4.08,5450.32,41655.6,5450.32,36205.28,8.16,4.08,4.08,36205.28,8.16,4.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.08,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3470,4224411.0,4224411.0,4224411.0,14748.0,14748.0,14748.0,0.0,0.0,0.0,68608501.0,68642152.0,68642152.0,0.0,0.0,0.0,4224411.0,428000.0,1.0,1.0,171200.0,44324121.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1970668.0,2003440.0,7557842.0,31077681.0,1694342.0,4887478.0,68791.0,68791.0,68791.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3473,633663.0,633663.0,633663.0,656869.0,656929.0,656929.0,0.0,0.0,0.0,20796311.0,20796011.0,20796011.0,0.0,0.0,0.0,633663.0,0.0,1.0,0.97,0.0,11392866.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4072832.0,4443169.0,7069415.0,1759001.0,2949935.0,224368.0,224368.0,224368.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
