,Ар1.0,Ар1.1,Ар1.2,Ар2.0,Ар2.1,Ар2.2,Ар3.0,Ар3.1,Ар3.2,Ар4.0,Ар4.1,Ар4.2,Ар5.0,Ар5.1,Ар5.2,Ариск0,БК,Кф,Кинс,Крд,КРФмп0,КРФрп0,КРФсп0,КРФмп1,КРФрп1,КРФсп1,КРФмп2,КРФрп2,КРФсп2,Крис,Кскр,Лам,Лат,ОД,Овм,Овт,ПК0,ПК1,ПК2,РР0,РР1,РР2,ПР0,ПР1,ОПР1,СПР1,ФР1,ОФР1,СФР1,ОПР0,ПР2,ОПР2,СПР2,ФР2,ОФР2,СФР2,СПР0,ФР0,ОФР0,ТР,ОТР,ДТР,ГВР(ТР),ГВР(ВР),ГВР(ПР),ГВР(ФР),СФР0,ВР,Ф,Кбр,Кр,Кз,Лат1,О,ВО,Лат1.1
2881,157688.0,157688.0,157688.0,1406.0,1406.0,1406.0,0.0,0.0,0.0,401589.0,295642.0,295642.0,0.0,0.0,0.0,157688.0,0.0,0.79,0.0,35592.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,296770.0,1057601.0,1103039.0,0.0,600135.0,627169.0,1192131.0,1192131.0,1192131.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
2883,636345.0,,636345.0,4513.0,,4513.0,,,,1709654.0,,1709626.0,,,,636345.0,,1.0,,,,,,,,,,,,,,603074.0,894758.0,,,545419.0,332136.0,,332136.0,55175.0,,55175.0,3722.0,3722.0,2389.0,1333.0,692.0,346.0,346.0,2389.0,3722.0,2389.0,1333.0,692.0,346.0,346.0,1333.0,692.0,346.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,346.0,0.0,,,,,,,,
2884,218358.0,,,100.0,,,,,,215992.0,,,,,,218358.0,,0.99,,,,,,,,,,,,,,,,,,,148484.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,465797.0,222839.0,89247.0,,
2897,585655.0,,585655.0,3161.0,,3161.0,0.0,,0.0,1118081.0,,1097356.0,0.0,,0.0,585655.0,16723.0,0.98,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,661609.0,757212.0,,,576093.0,0.0,,0.0,10938.0,,10938.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,875.04,,,,,,,,
2900,1945564.0,1945564.0,1945564.0,6743.0,6743.0,6743.0,0.0,0.0,0.0,3286249.0,3194077.0,3194077.0,0.0,0.0,0.0,1945564.0,0.0,1.0,38495.0,1218604.0,,,,,,,,,,25324.0,2736135.0,797780.0,2101748.0,149954.0,509278.0,1255941.0,1553279.0,1553279.0,1553279.0,60261.0,60261.0,60261.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4820.9,,,,,,,,
2905,306579.0,306579.0,306579.0,176304.0,176304.0,176304.0,0.0,0.0,0.0,2041435.0,2041435.0,2041435.0,0.0,0.0,0.0,306579.0,0.0,0.95,0.0,135793.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21343.0,4575160.0,1170442.0,1882521.0,27009.0,1122410.0,1145994.0,315578.0,315578.0,315578.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
2914,3137450.0,3137450.0,3137450.0,342895.0,342895.0,342895.0,434.0,434.0,434.0,12794956.0,12794956.0,12794956.0,0.0,0.0,0.0,4127025.0,0.0,0.98,0.0,2749657.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23406.0,8772308.0,15668891.0,30259376.0,321400.0,26084532.0,32553559.0,837430.0,837430.0,837430.0,3223738.0,3223738.0,3223738.0,257899.0,257899.0,46593.0,211306.0,0.0,0.0,0.0,46593.0,257899.0,46593.0,211306.0,0.0,0.0,0.0,211306.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
2929,4301008.0,4301008.0,4301008.0,57724.0,57724.0,57724.0,183039.0,183039.0,183039.0,29505067.0,29263321.0,29263321.0,0.0,0.0,0.0,4301008.0,667506.0,0.99,1464978.0,13797609.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98093.0,28521908.0,9328180.0,12936118.0,8879620.0,10295968.0,14076573.0,17590863.0,17590863.0,17590863.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.04,0.01,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
2932,684872.0,,684872.0,4787.0,,4787.0,10730.0,,10730.0,619582.0,,619582.0,0.0,,0.0,684872.0,4558.0,0.99,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,754120.0,784217.0,,,850387.0,389453.0,,389453.0,41432.0,,41432.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3314.59,,,,,,,,
2949,1166233.0,1166233.0,1166233.0,186386.0,186386.0,186386.0,,,,5245879.0,5245879.0,5245879.0,,,,1166233.0,125000.0,1.07,,3134436.0,,,,,,,,,,13123.0,1212668.0,999399.0,2022617.0,1112905.0,1292641.0,1427060.0,348192.0,348192.0,348192.0,54000.0,54000.0,54000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4320.0,,,,,,,,
2960,685954.0,685954.0,685954.0,28589.0,28589.0,28589.0,0.0,0.0,0.0,1872408.0,1872404.0,1872404.0,0.0,0.0,0.0,787109.0,64473.0,0.98,0.0,54695.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5065.0,2100498.0,585891.0,1028251.0,972.0,788628.0,851414.0,891128.0,891128.0,891128.0,131013.0,131013.0,131013.0,3053.45,3053.45,1897.1,1156.35,7427.56,1318.25,6109.31,1897.1,3053.45,1897.1,1156.35,7427.56,1318.25,6109.31,1156.35,7427.56,1318.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6109.31,0.0,,,,,,,,
