,Ар1.0,Ар1.1,Ар1.2,Ар2.0,Ар2.1,Ар2.2,Ар3.0,Ар3.1,Ар3.2,Ар4.0,Ар4.1,Ар4.2,Ар5.0,Ар5.1,Ар5.2,Ариск0,БК,Кф,Кинс,Крд,КРФмп0,КРФрп0,КРФсп0,КРФмп1,КРФрп1,КРФсп1,КРФмп2,КРФрп2,КРФсп2,Крис,Кскр,Лам,Лат,ОД,Овм,Овт,ПК0,ПК1,ПК2,РР0,РР1,РР2,ПР0,ПР1,ОПР1,СПР1,ФР1,ОФР1,СФР1,ОПР0,ПР2,ОПР2,СПР2,ФР2,ОФР2,СФР2,СПР0,ФР0,ОФР0,ТР,ОТР,ДТР,ГВР(ТР),ГВР(ВР),ГВР(ПР),ГВР(ФР),СФР0,ВР,Ф,Кбр,Кр,Кз,Лат1,О,ВО,Лат1.1
1,159315013.0,159315013.0,159315013.0,32288831.0,32288831.0,32288831.0,244510.0,244510.0,244510.0,740368742.0,730239280.0,730239280.0,1172.0,1172.0,1172.0,159315013.0,21727630.0,1.0,7200101.0,437666964.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,330049.0,297290239.0,217032195.0,446737969.0,113320342.0,308157048.0,604549205.0,35487663.0,35487663.0,35487663.0,80104905.0,80104905.0,80104905.0,5733867.07,5733867.07,5733867.07,0.0,0.0,0.0,0.0,5733867.07,5733867.07,5733867.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,674525.33,,,,,,,,
1000,1470755469.0,1470755469.0,1470755469.0,155299622.0,155299622.0,155299622.0,19252941.0,19252941.0,19252941.0,9116175268.0,9134974166.0,9125274166.0,4404101.0,4404101.0,4404101.0,1754143998.0,506206158.0,1.0,240892662.0,6939900064.0,0.0,0.0,61499521.0,0.0,0.0,61499521.0,0.0,0.0,61499521.0,5428139.0,3618997159.0,1232342385.0,2283991080.0,1303676425.0,3276473128.0,5409388671.0,1034974873.0,1035009475.0,1035008488.0,848032913.0,848032913.0,848032913.0,42278594.04,42278594.04,27528407.24,14750186.8,5502708.52,2749181.14,2753459.43,27528407.24,42278594.04,27528407.24,14750186.8,5502708.52,2749181.14,2753459.43,14750186.8,5502708.52,2749181.14,5536329.04,1230180.84,4302996.99,3151.21,84717.17,0.0,67.95,2753459.43,14525001.47,,,,,,,,
101,5648022.0,5648022.0,5648022.0,175213.0,175213.0,175213.0,127773.0,127773.0,127773.0,9179540.0,9179540.0,9179540.0,0.0,0.0,0.0,9291735.0,349625.0,0.9,8.0,2912145.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21784.0,20923418.0,22116162.0,51740550.0,1166781.0,40068826.0,42395146.0,2443089.0,2443089.0,2443089.0,6478863.0,6478863.0,6478863.0,516969.0,516969.0,85336.0,431633.0,1340.0,670.0,670.0,85336.0,516969.0,85336.0,431633.0,1340.0,670.0,670.0,431633.0,1340.0,670.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,670.0,0.0,,,,,,,,
1016,269496.0,,269496.0,3107.0,,3107.0,6778.0,,6778.0,230225.0,,221815.0,,,,269496.0,,1.0,,,,,,,,,,,,,,39013.0,378783.0,,,129455.0,225961.0,,225961.0,201589.0,,201589.0,9607.1,9607.1,2680.67,6926.43,4187.04,2093.52,2093.52,2680.67,9607.1,2680.67,6926.43,4187.04,2093.52,2093.52,6926.43,4187.04,2093.52,,,,,,,,2093.52,2332.97,,,,,,,,
1027,680162.0,680162.0,680162.0,77518.0,77518.0,77518.0,,,,681728.0,457644.0,457644.0,,,,1067882.0,,1.02,,297467.0,,,,,,,,,,14505.0,67000.0,724663.0,1137086.0,,764340.0,867581.0,156439.0,156439.0,156439.0,38438.0,38438.0,38438.0,2079.0,2079.0,2079.0,0.0,996.0,498.0,498.0,2079.0,2079.0,2079.0,0.0,996.0,498.0,498.0,0.0,996.0,498.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,498.0,0.0,,,,,,,,
1046,184330.0,,184330.0,2601.0,,2601.0,,,,218467.0,,218192.0,,,,184330.0,,1.0,,,,,,,,,,,,,,,200168.0,,,153447.0,161653.0,,161653.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
1049,2390143.0,2390143.0,2390143.0,79952.0,79952.0,79952.0,1614.0,1614.0,1614.0,4764863.0,4656133.0,4656133.0,,,,2390143.0,51778.0,0.99,,2949943.0,,,,,,,,,,26662.0,1354479.0,781454.0,2718332.0,2303357.0,2292469.0,2580929.0,247569.0,247569.0,247569.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
1052,528295.0,,528295.0,2938.0,,2938.0,0.0,,0.0,526730.0,,526730.0,0.0,,0.0,528295.0,0.0,1.0,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,319198.0,750068.0,,,688167.0,157071.0,,157071.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
106,351874.0,,351874.0,111826.0,,111826.0,0.0,,0.0,519924.0,,498758.0,0.0,,0.0,351874.0,1073.0,1.02,,,,,,,,,,,,,,229812.0,540254.0,,,578926.0,827.0,,827.0,46838.0,,46838.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,3747.0,,,,,,,,
1067,2309000.0,2309000.0,2309000.0,49697.0,49697.0,49697.0,8264.0,8264.0,8264.0,8225446.0,8215094.0,8215094.0,0.0,0.0,0.0,2566525.0,0.0,0.98,0.0,3973213.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3798.0,11362856.0,2235377.0,3693675.0,62624.0,2671847.0,3862291.0,920326.0,920326.0,920326.0,320360.0,320360.0,320360.0,24737.41,24737.41,15605.26,9132.15,0.0,0.0,0.0,15605.26,24737.41,15605.26,9132.15,0.0,0.0,0.0,9132.15,0.0,0.0,891.39,7.51,883.88,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
1071,569190.0,,569190.0,1895.0,,1895.0,,,,443831.0,,399520.0,,,,569190.0,45478.0,1.0,,,,,,,,,,,,,,618944.0,1015102.0,,,890965.0,417397.0,,462938.0,258941.0,,258941.0,19629.43,,,,,,,9507.49,19629.43,9507.49,10121.94,,,,10121.94,,,,,,,,,,,1085.82,,,,,,,,
1087,1945333.0,1945333.0,1945333.0,1533572.0,1533572.0,1533572.0,,,,1749403.0,1742119.0,1742119.0,,,,1945333.0,3385.0,1.0,,6773.0,,,,,,,,,,2602.0,279635.0,9201490.0,11588169.0,2330.0,9918239.0,10399434.0,,,,332843.0,332843.0,332843.0,18947.22,18947.22,16582.71,2364.51,,,,16582.71,18947.22,16582.71,2364.51,,,,2364.51,,,,,,,,,,,7680.25,,,,,,,,
1114,336049.0,,336049.0,494.0,,494.0,,,,481483.0,,400291.0,,,,336049.0,,1.25,,,,,,,,,,,,,,41717.0,340999.0,,,208762.0,44692.0,,44692.0,9508.0,,9508.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,760.64,,,,,,,,
1115,321719.0,,321719.0,168026.0,,168026.0,,,,861286.0,,861286.0,,,,321719.0,,1.0,,,,,,,,,,,,,,180095.0,1222778.0,,,697724.0,275979.0,,275979.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1136,683546.0,,683546.0,171.0,,171.0,,,,875789.0,,794061.0,,,,683546.0,,0.99,,,,,,,,,,,,,,89684.0,729237.0,,,774284.0,219338.0,,219338.0,9130.0,,9130.0,,,,,,,,,,,,,,,,,,,,,,,,,,730.4,,,,,,,,
1143,795560.0,,795560.0,107995.0,,107995.0,0.0,,0.0,1226168.0,,1226168.0,0.0,,0.0,795560.0,0.0,0.93,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,2614551.0,4271829.0,,,3005532.0,0.0,,0.0,1154710.0,,1154710.0,92376.83,0.0,0.0,0.0,0.0,0.0,0.0,32162.23,92376.83,32162.23,60214.6,0.0,0.0,0.0,60214.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
1144,1352451.0,,1352451.0,9612.0,,9612.0,,,,2486717.0,,2451954.0,,,,1352451.0,,1.0,,,,,,,,,,,,,,341292.0,1817216.0,,,1299141.0,26309.0,,26309.0,14057.0,,14057.0,,,,,,,,,,,,,,,,,,,,,,,,,,1124.56,,,,,,,,
1151,436899.0,,436899.0,17289.0,,17289.0,,,,1081238.0,,1042953.0,,,,436899.0,,1.03,,,,,,,,,,,,,,161944.0,605439.0,,,524880.0,127090.0,,127090.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
1158,2033424.0,2033424.0,2033424.0,51724.0,51724.0,51724.0,1289.0,1289.0,1289.0,3024898.0,2807635.0,2807635.0,0.0,0.0,0.0,2584534.0,0.0,1.0,0.0,2684175.0,,,,,,,,,,31438.0,1978860.0,1276022.0,4256631.0,57266.0,3447990.0,4015333.0,653829.0,653829.0,653829.0,1569292.0,1569292.0,1569292.0,120736.29,120736.29,30689.92,90046.37,4807.04,2403.52,2403.52,30689.92,120736.29,30689.92,90046.37,4807.04,2403.52,2403.52,90046.37,4807.04,2403.52,,,,,,,,2403.52,0.0,,,,,,,,
1189,1355797.0,1355797.0,1355797.0,13885.0,13885.0,13885.0,0.0,0.0,0.0,21341082.0,21341082.0,21341082.0,0.0,0.0,0.0,1355797.0,909293.0,1.0,0.0,16765072.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3827.0,0.0,1319804.0,4782298.0,4695245.0,1132050.0,2444419.0,1078756.0,1078756.0,1078756.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
