,Ариск0,АРБ0,АРС0,АРЦК0,АРпр0,АРБ1,АРС1,АРЦК1,АРпр1,АРБ2,АРС2,АРЦК2,АРпр2,АРФЛ,АРкорп,АРМБР,АРМСП,БК2.0,БК2.1,БК2.2,Метод,ПК2.0,ПК2.1,ПК2.2,Кф,Кинс,Крд,КРФмп0,КРФрп0,КРФсп0,КРФмп1,КРФрп1,КРФсп1,КРФмп2,КРФрп2,КРФсп2,Кскр,Лам,Лат,ОД,Овм,Овт,РР0,РР1,РР2,ПР0,ПР1,ОПР1,СПР1,ФР1,ОФР1,СФР1,ОПР0,ПР2,ОПР2,СПР2,ФР2,ОФР2,СФР2,СПР0,ФР0,ОФР0,ТР,ОТР,ДТР,ГВР(ТР),ГВР(ВР),ГВР(ПР),ГВР(ФР),СФР0,ВР,Ар1.0,Ар1.2,Ар2.0,Ар2.2,Ар4.0,Ар4.2,БК,ПК0,ПК2,Ар1.1,Ар2.1,Ар4.1,ПК1,Ар3.0,Ар3.1,Ар3.2,Ар5.0,Ар5.2,Ар5.1,Ф,Кбр,Кр,Кз,Лат1,О,ВО,Лат1.1
3467,1124454.0,,,,,,,,,,,,,,,,,,,,1.0,,,,0.93,0.0,93079.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,356428.0,1411429.0,2163882.0,54570.0,1818886.0,1845834.0,155381.0,155381.0,155381.0,2969.06,2969.06,1368.14,1600.92,0.0,0.0,0.0,1368.14,2969.06,1368.14,1600.92,0.0,0.0,0.0,1600.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9461.44,1124454.0,1124454.0,51655.0,51655.0,2007381.0,2007381.0,0.0,1472.0,1472.0,1124454.0,51655.0,2007381.0,1472.0,25249.0,25249.0,25249.0,74799.0,74799.0,74799.0,,,,,,,,
3468,2806712.0,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,,54622.0,,,,,,,,,,640804.0,515098.0,3223705.0,110000.0,1625241.0,1723798.0,550367.0,550367.0,550367.0,44018.02,44018.02,4242.18,39775.84,11.36,5.68,5.68,4242.18,44018.02,4242.18,39775.84,11.36,5.68,5.68,39775.84,11.36,5.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.68,0.0,2806712.0,2806712.0,84270.0,84270.0,144540.0,144540.0,,,,2806712.0,84270.0,144540.0,,,,,,,,,,,,,,,
3470,5673379.0,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,169060.0,44177283.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1592789.0,2897462.0,8519582.0,32573090.0,1965915.0,4959825.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5673379.0,5673379.0,8843.0,8843.0,67615350.0,67620573.0,422650.0,54564.0,54564.0,5673379.0,8843.0,67620573.0,54564.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
3473,729672.0,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,0.0,11535422.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6407577.0,7258339.0,6088745.0,3415746.0,3487914.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,729672.0,729672.0,1127460.0,1127460.0,20878361.0,20878361.0,0.0,301701.0,301701.0,729672.0,1127460.0,20878361.0,301701.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
3475,15586019.0,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,0.0,17307606.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32661339.0,32773277.0,41676166.0,1515503.0,43205289.0,51865314.0,886061.0,886061.0,886061.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70884.88,15586019.0,15586019.0,1704573.0,1704573.0,28603657.0,28603657.0,0.0,211179.0,211179.0,15586019.0,1704573.0,28603657.0,211179.0,15353587.0,15353587.0,15353587.0,0.0,0.0,0.0,,,,,,,,
3479,5851155.0,,,,,,,,,,,,,,,,,,,,1.0,,,,0.98,0.0,1545606.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11362153.0,4512675.0,11793560.0,1373791.0,9769578.0,14541587.0,7401688.0,7401688.0,7401688.0,592135.0,592135.0,124178.0,467957.0,0.0,0.0,0.0,124178.0,592135.0,124178.0,467957.0,0.0,0.0,0.0,467957.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5851155.0,5851155.0,1476765.0,1476765.0,5089608.0,5089608.0,0.0,268395.0,268395.0,5851155.0,1476765.0,5089608.0,268395.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
3481,404003.0,,,,,,,,,,,,,,,,,,,,1.0,,,,0.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,512604.0,408966.0,2874332.0,2500.0,4354.0,11284.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,404003.0,404003.0,486239.0,486239.0,95885.0,95885.0,106125.0,92507.0,92507.0,404003.0,486239.0,95885.0,92507.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
3482,2661144.0,,,,,,,,,,,,,,,,,,,,1.0,,,,0.99,0.0,25956323.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2946243.0,4019007.0,12237777.0,22750000.0,14302946.0,14986948.0,267414.0,267414.0,267414.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21393.14,2661144.0,2661144.0,2105610.0,2105610.0,37444262.0,37444262.0,0.0,174500.0,174500.0,2661144.0,2105610.0,37444262.0,174500.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
3483,140106.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,0.0,,,,,,,0.0,0.0,0.0,,,,,,,,0.0,0.0,140106.0,,4929.0,,53357.0,,,,,,,,,,,,,,,,,,,159160.0,110840.0,,
3486,767337.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,767337.0,,20272.0,,345590.0,,0.0,302.0,,,,,,0.0,,,0.0,,,0.0,0.0,0.0,0.0,940268.0,531176.0,0.0,
