,Ариск0,АРБ0,АРС0,АРЦК0,АРпр0,АРБ1,АРС1,АРЦК1,АРпр1,АРБ2,АРС2,АРЦК2,АРпр2,АРФЛ,АРкорп,АРМБР,АРМСП,БК2.0,БК2.1,БК2.2,Метод,ПК2.0,ПК2.1,ПК2.2,Кф,Кинс,Крд,КРФмп0,КРФрп0,КРФсп0,КРФмп1,КРФрп1,КРФсп1,КРФмп2,КРФрп2,КРФсп2,Кскр,Лам,Лат,ОД,Овм,Овт,РР0,РР1,РР2,ПР0,ПР1,ОПР1,СПР1,ФР1,ОФР1,СФР1,ОПР0,ПР2,ОПР2,СПР2,ФР2,ОФР2,СФР2,СПР0,ФР0,ОФР0,ТР,ОТР,ДТР,ГВР(ТР),ГВР(ВР),ГВР(ПР),ГВР(ФР),СФР0,ВР,Ар1.0,Ар1.2,Ар2.0,Ар2.2,Ар4.0,Ар4.2,БК,ПК0,ПК2,Ар1.1,Ар2.1,Ар4.1,ПК1,Ар3.0,Ар3.1,Ар3.2,Ар5.0,Ар5.1,Ар5.2,Ф,Кбр,Кр,Кз,Лат1,О,ВО,Лат1.1
1,155280253.0,60139566.0,1583220.0,1406508.0,24687814.0,60139566.0,1583220.0,1406508.0,13967576.0,60139566.0,1583220.0,1406508.0,13967576.0,178946302.0,535520140.0,255078.0,0.0,24119796.0,24119796.0,24119796.0,2.0,33268418.0,33268418.0,33268418.0,1.0,7200101.0,503956413.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,317135644.0,428476952.0,714921029.0,119491947.0,420953346.0,809422314.0,95037588.0,95037588.0,95037588.0,6642484.68,6642484.68,6612512.83,29971.85,0.0,0.0,0.0,6612512.83,6642484.68,6612512.83,29971.85,0.0,0.0,0.0,29971.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,960522.39,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000,0.0,136580034.0,53921238.0,4568540.0,1147374460.0,136580034.0,53921238.0,4568540.0,1173378113.0,136580034.0,53921238.0,4568540.0,1163325278.0,2688890456.0,5166581451.0,879.0,66802778.0,894750068.0,904950801.0,904949814.0,2.0,615995206.0,615995206.0,616028528.0,1.0,251184599.0,7070230154.0,0.0,0.0,4981739.0,0.0,0.0,4981739.0,0.0,0.0,4981739.0,3781106957.0,1092344804.0,2100086807.0,1474916111.0,4352512649.0,6569829552.0,797466083.0,797466083.0,797466083.0,47021976.31,47021976.31,29104964.01,17917012.3,2533155.38,1170843.8,1362311.58,29104964.01,47021976.31,29104964.01,17917012.3,2533155.38,1170843.8,1362311.58,17917012.3,2533155.38,1170843.8,7349304.54,2533315.31,4813841.75,2147.48,246469.46,0.0,0.0,1362311.58,6892850.37,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,7533167.0,,,,,,,,,,,,,,,,,,,,1.0,,,,1.05,8.0,2821713.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21012617.0,40834959.0,53113334.0,1334109.0,39367741.0,45558886.0,8815063.0,8815063.0,8815063.0,703965.0,703965.0,97330.0,606635.0,1240.0,620.0,620.0,97330.0,703965.0,97330.0,606635.0,1240.0,620.0,620.0,606635.0,1240.0,620.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,620.0,0.0,7522561.0,7522561.0,235629.0,235629.0,10255257.0,10255257.0,565458.0,1729483.0,1729483.0,7522561.0,235629.0,10255257.0,1729483.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
1016,275500.0,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,54567.0,378427.0,,,96251.0,185707.0,,185707.0,9905.09,9905.09,2663.6,7241.49,3140.96,1570.48,1570.48,2663.6,9905.09,2663.6,7241.49,3140.96,1570.48,1570.48,7241.49,3140.96,1570.48,,,,,,,,1570.48,1810.54,275500.0,275500.0,3066.0,3066.0,228600.0,220190.0,,219923.0,219923.0,,,,,8289.0,,8289.0,,,,,,,,,,,
1027,850964.0,,,,,,,,,,,,,,,,,,,,1.0,,,,1.03,,331262.0,,,,,,,,,,55250.0,330671.0,901720.0,,576175.0,673207.0,34675.0,34675.0,34675.0,2052.0,2052.0,2052.0,0.0,722.0,361.0,361.0,2052.0,2052.0,2052.0,0.0,722.0,361.0,361.0,0.0,722.0,361.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,361.0,0.0,686777.0,686777.0,63651.0,63651.0,732698.0,509126.0,,171289.0,171289.0,686777.0,63651.0,509126.0,171289.0,,,,,,,,,,,,,,
1046,213964.0,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,221847.0,,,169013.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,213964.0,213964.0,10.0,10.0,257398.0,257123.0,,161018.0,161018.0,,,,,,,,,,,,,,,,,,
1049,1748805.0,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,,2880189.0,,,,,,,,,,1455548.0,1485274.0,2772083.0,2365205.0,2456833.0,2543907.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1751587.0,1751587.0,225140.0,225140.0,4835399.0,4674459.0,27355.0,211625.0,211625.0,1751587.0,225140.0,4674459.0,211625.0,,,,,,,,,,,,,,
1052,668586.0,,,,,,,,,,,,,,,,,,,,1.0,,,,0.95,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,,464473.0,990183.0,,,854343.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,668586.0,668586.0,36480.0,36480.0,440720.0,440720.0,4735.0,145793.0,145793.0,,,,,0.0,,0.0,0.0,,0.0,,,,,,,,
106,570815.0,,,,,,,,,,,,,,,,,,,,1.0,,,,0.98,,,,,,,,,,,,,348751.0,1184732.0,,,1136737.0,33650.0,,33650.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,2692.0,570815.0,570815.0,168344.0,168344.0,462835.0,430073.0,,16271.0,16271.0,,,,,0.0,,0.0,0.0,,0.0,,,,,,,,
1067,1578754.0,12114.0,0.0,14835.0,536446.0,12114.0,0.0,14835.0,526094.0,12114.0,0.0,14835.0,526094.0,3586090.0,5849469.0,0.0,0.0,61200.0,61200.0,61200.0,2.0,653657.0,653657.0,653657.0,0.96,24480.0,4115172.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8093021.0,1498854.0,1904090.0,116404.0,3370880.0,4723598.0,395362.0,395362.0,395362.0,30830.07,30830.07,11620.12,19209.95,0.0,0.0,0.0,11620.12,30830.07,11620.12,19209.95,0.0,0.0,0.0,19209.95,0.0,0.0,798.92,14.55,784.37,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
