,Ар1.0,Ар1.1,Ар1.2,Ар2.0,Ар2.1,Ар2.2,Ар3.0,Ар3.1,Ар3.2,Ар4.0,Ар4.1,Ар4.2,Ар5.0,Ар5.1,Ар5.2,Ариск0,БК,Кф,Кинс,Крд,КРФмп0,КРФрп0,КРФсп0,КРФмп1,КРФрп1,КРФсп1,КРФмп2,КРФрп2,КРФсп2,Крис,Кскр,Лам,Лат,ОД,Овм,Овт,ПК0,ПК1,ПК2,РР0,РР1,РР2,ПР0,ПР1,ОПР1,СПР1,ФР1,ОФР1,СФР1,ОПР0,ПР2,ОПР2,СПР2,ФР2,ОФР2,СФР2,СПР0,ФР0,ОФР0,ТР,ОТР,ДТР,ГВР(ТР),ГВР(ВР),ГВР(ПР),ГВР(ФР),СФР0,ВР,Ф,Кбр,Кр,Кз,Лат1,О,ВО,Лат1.1
2755,3585918.0,3585918.0,3585918.0,6494.0,6494.0,6494.0,206400.0,206400.0,206400.0,4690434.0,4690434.0,4690434.0,0.0,0.0,0.0,3839198.0,202123.0,1.0,76682.0,1810411.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6030.0,5822449.0,5060179.0,7168147.0,1124307.0,5038432.0,5184920.0,3460025.0,3460025.0,3460025.0,318752.0,318752.0,318752.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25500.14,,,,,,,,
2756,376748.0,,376748.0,58374.0,,58374.0,,,,856527.0,,856527.0,,,,376748.0,,1.0,,,,,,,,,,,,,,345719.0,768134.0,,,613246.0,18090.0,,18090.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
2761,250497.0,,,,,,,,,5963.0,,,,,,250497.0,,1.01,,,,,,,,,,,,,,,,,,,71507.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,35461.0,253677.0,122706.0,,
2763,72598818.0,72598818.0,72598818.0,483253.0,483253.0,483253.0,0.0,0.0,0.0,75197693.0,74719694.0,74719694.0,0.0,0.0,0.0,72598818.0,8638710.0,1.0,691097.0,54116456.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18226.0,61520047.0,14207874.0,16887480.0,78103946.0,6539708.0,9444220.0,15365461.0,15365461.0,15365461.0,1521062.0,1521062.0,1521062.0,36823.31,36823.31,9534.72,27288.59,0.0,0.0,0.0,9534.72,36823.31,9534.72,27288.59,0.0,0.0,0.0,27288.59,0.0,0.0,748.83,624.02,124.81,0.0,0.0,0.0,0.0,0.0,84112.8,,,,,,,,
2764,558515.0,558515.0,558515.0,418144.0,418144.0,418144.0,0.0,0.0,0.0,3087138.0,3367073.0,3367073.0,0.0,0.0,0.0,558515.0,0.0,1.0,0.0,2506351.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7127.0,4411863.0,4203314.0,4852015.0,1068972.0,3118833.0,4349000.0,5504272.0,5504272.0,5504272.0,117670.0,117670.0,117670.0,6972.36,6972.36,6972.36,0.0,0.0,0.0,0.0,6972.36,6972.36,6972.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2441.2,,,,,,,,
2766,31241189.0,31241189.0,31241189.0,4660576.0,4660576.0,4660576.0,2839380.0,2839380.0,2839380.0,88924102.0,88386678.0,88386678.0,6.0,6.0,6.0,31867878.0,2079270.0,1.0,0.0,48621610.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10767.0,8581418.0,13585061.0,39195497.0,266181.0,46653877.0,59968814.0,2608209.0,2608209.0,2608209.0,5520668.0,5520668.0,5520668.0,397650.9,397650.9,233425.48,164225.42,0.0,0.0,0.0,233425.48,397650.9,233425.48,164225.42,0.0,0.0,0.0,164225.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44002.5,,,,,,,,
2772,3213512.0,3213512.0,3213512.0,7934.0,7934.0,7934.0,,,,6290110.0,5918605.0,5918605.0,,,,4130084.0,,1.02,,2714303.0,,,,,,,,,,10026.0,2669236.0,2687577.0,4675323.0,4172475.0,2603910.0,2783622.0,898382.0,898382.0,898382.0,44671.0,44671.0,44671.0,3573.65,3573.65,2656.66,916.99,,,,2656.66,3573.65,2656.66,916.99,,,,916.99,,,,,,,,,,,,,,,,,,,
2776,2147051.0,2147051.0,2147051.0,317956.0,317956.0,317956.0,0.0,0.0,0.0,1635934.0,1635930.0,1635930.0,0.0,0.0,0.0,2147051.0,0.0,0.97,0.0,571481.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,272.0,1021548.0,3211274.0,4300619.0,7202.0,2789952.0,2822615.0,187478.0,187478.0,187478.0,1220823.0,1220823.0,1220823.0,91159.66,91159.66,12195.67,78963.99,0.0,0.0,0.0,12195.67,91159.66,12195.67,78963.99,0.0,0.0,0.0,78963.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6506.2,,,,,,,,
2789,1065079.0,1065079.0,1065079.0,19.0,19.0,19.0,0.0,0.0,0.0,26109287.0,26114172.0,26114172.0,0.0,0.0,0.0,1065079.0,486916.0,0.96,0.0,17854882.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2471.0,844823.0,923451.0,1794734.0,12356659.0,1335919.0,2277678.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
2790,3332880.0,3332880.0,3332880.0,2045133.0,2045133.0,2045133.0,33132187.0,33132187.0,33132187.0,19410736.0,19409780.0,19409780.0,263580.0,263580.0,263580.0,3332880.0,53775.0,0.97,0.0,47885932.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54068371.0,23917517.0,35842361.0,47223969.0,12828404.0,22497708.0,9649650.0,9649650.0,9649650.0,2289576.0,2289576.0,2289576.0,183166.09,183166.09,36322.3,146843.79,0.0,0.0,0.0,36322.3,183166.09,36322.3,146843.79,0.0,0.0,0.0,146843.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
