REGN;C1_2;C2_2
1;Ар1.0;185587664,00
1;Ар1.1;185587664,00
1;Ар1.2;185587664,00
1;Ар2.0;33183446,00
1;Ар2.1;33183446,00
1;Ар2.2;33183446,00
1;Ар3.0;92648,00
1;Ар3.1;92648,00
1;Ар3.2;92648,00
1;Ар4.0;757958021,00
1;Ар4.1;750893076,00
1;Ар4.2;750893076,00
1;Ар5.0;846,00
1;Ар5.1;846,00
1;Ар5.2;846,00
1;Ариск0;185587664,00
1;БК;21727630,00
1;Метод;1,00
1;Кф;1,00
1;Кинс;7200101,00
1;Крд;447618259,00
1;КРФмп0;0,00
1;КРФрп0;0,00
1;КРФсп0;0,00
1;КРФмп1;0,00
1;КРФрп1;0,00
1;КРФсп1;0,00
1;КРФмп2;0,00
1;КРФрп2;0,00
1;КРФсп2;0,00
1;Кскр;283122973,00
1;Лам;307073686,00
1;Лат;509164432,00
1;ОД;114386927,00
1;Овм;428150679,00
1;Овт;624043634,00
1;ПК0;32335088,00
1;ПК1;32335088,00
1;ПК2;32335088,00
1;РР0;78272913,00
1;РР1;78272913,00
1;РР2;78272913,00
1;ПР0;5527865,67
1;ПР1;5527865,67
1;ОПР1;5527865,67
1;СПР1;0,00
1;ФР1;0,00
1;ОФР1;0,00
1;СФР1;0,00
1;ОПР0;5527865,67
1;ПР2;5527865,67
1;ОПР2;5527865,67
1;СПР2;0,00
1;ФР2;0,00
1;ОФР2;0,00
1;СФР2;0,00
1;СПР0;0,00
1;ФР0;0,00
1;ОФР0;0,00
1;ТР;0,00
1;ОТР;0,00
1;ДТР;0,00
1;ГВР(ТР);0,00
1;ГВР(ВР);0,00
1;ГВР(ПР);0,00
1;ГВР(ФР);0,00
1;СФР0;0,00
1;ВР;733967,40
2;Ар1.0;549161,00
2;Ар1.2;549161,00
2;Ар2.0;887,00
2;Ар2.2;887,00
2;Ар4.0;329857,00
2;Ар4.2;309621,00
2;Ариск0;549161,00
2;БК;119080,00
2;Метод;1,00
2;Кф;1,00
2;Лам;562356,00
2;Лат;1053871,00
2;Овт;501362,00
2;ПК0;813650,00
2;ПК2;813650,00
2;РР0;14160,00
2;РР2;14160,00
2;ПР0;0,00
2;ПР1;0,00
2;ОПР1;0,00
2;СПР1;0,00
2;ФР1;0,00
2;ОФР1;0,00
2;СФР1;0,00
2;ОПР0;0,00
2;ПР2;0,00
2;ОПР2;0,00
2;СПР2;0,00
2;ФР2;0,00
2;ОФР2;0,00
2;СФР2;0,00
2;СПР0;0,00
2;ФР0;0,00
2;ОФР0;0,00
2;ТР;0,00
2;ОТР;0,00
2;ДТР;0,00
2;ГВР(ТР);0,00
2;ГВР(ВР);0,00
2;ГВР(ПР);0,00
2;ГВР(ФР);0,00
2;СФР0;0,00
2;ВР;1132,78
21;Ар1.0;575800,00
21;Ар1.2;575800,00
21;Ар2.0;10665,00
21;Ар2.2;10665,00
21;Ар4.0;846221,00
21;Ар4.2;846221,00
21;Ариск0;575800,00
21;Метод;1,00
21;Кф;0,94
21;Лам;283842,00
21;Лат;692942,00
21;Овт;807502,00
21;ПК0;235793,00
21;ПК2;235793,00
21;РР0;26541,00
21;РР2;26541,00
21;ПР0;0,00
21;ПР1;0,00
21;ОПР1;0,00
21;СПР1;0,00
21;ФР1;0,00
21;ОФР1;0,00
21;СФР1;0,00
21;ОПР0;0,00
21;ПР2;0,00
21;ОПР2;0,00
21;СПР2;0,00
21;ФР2;0,00
21;ОФР2;0,00
21;СФР2;0,00
21;СПР0;0,00
21;ФР0;0,00
21;ОФР0;0,00
21;ТР;0,00
21;ОТР;0,00
21;ДТР;0,00
21;ГВР(ТР);0,00
21;ГВР(ВР);0,00
21;ГВР(ПР);0,00
21;ГВР(ФР);0,00
21;СФР0;0,00
21;ВР;2123,26
52;Ар1.0;1261594,00
52;Ар1.1;1261594,00
52;Ар1.2;1261594,00
52;Ар2.0;8964,00
52;Ар2.1;8964,00
52;Ар2.2;8964,00
52;Ар4.0;8160492,00
52;Ар4.1;8160368,00
52;Ар4.2;8160368,00
52;Ариск0;1261594,00
