REGN;C1_2;C2_2
1;Ариск0;103782582,00
1;АРБ0;59294891,00
1;АРС0;1568747,00
1;АРЦК0;1024400,00
1;АРпр0;33114923,00
1;АРБ1;59294891,00
1;АРС1;1568747,00
1;АРЦК1;1024400,00
1;АРпр1;22413368,00
1;АРБ2;59294891,00
1;АРС2;1568747,00
1;АРЦК2;1024400,00
1;АРпр2;22413368,00
1;АРФЛ;162908578,00
1;АРкорп;479495922,00
1;АРМБР;248329,00
1;АРМСП;0,00
1;БК2.0;21482496,00
1;БК2.1;21482496,00
1;БК2.2;21482496,00
1;Метод;2,00
1;ПК2.0;9804719,00
1;ПК2.1;9804719,00
1;ПК2.2;9804719,00
1;Кф;1,00
1;Кинс;7200101,00
1;Крд;448303588,00
1;КРФмп0;0,00
1;КРФрп0;0,00
1;КРФсп0;0,00
1;КРФмп1;0,00
1;КРФрп1;0,00
1;КРФсп1;0,00
1;КРФмп2;0,00
1;КРФрп2;0,00
1;КРФсп2;0,00
1;Кскр;239026598,00
1;Лам;443498752,00
1;Лат;778260196,00
1;ОД;87820176,00
1;Овм;398554091,00
1;Овт;748854348,00
1;РР0;86620618,00
1;РР1;86620618,00
1;РР2;86620618,00
1;ПР0;5893186,08
1;ПР1;5893186,08
1;ОПР1;5893186,08
1;СПР1;0,00
1;ФР1;0,00
1;ОФР1;0,00
1;СФР1;0,00
1;ОПР0;5893186,08
1;ПР2;5893186,08
1;ОПР2;5893186,08
1;СПР2;0,00
1;ФР2;0,00
1;ОФР2;0,00
1;СФР2;0,00
1;СПР0;0,00
1;ФР0;0,00
1;ОФР0;0,00
1;ТР;0,00
1;ОТР;0,00
1;ДТР;0,00
1;ГВР(ТР);0,00
1;ГВР(ВР);0,00
1;ГВР(ПР);0,00
1;ГВР(ФР);0,00
1;СФР0;0,00
1;ВР;1036463,36
2;Ар1.0;542842,00
2;Ар1.2;542842,00
2;Ар2.0;1016,00
2;Ар2.2;1016,00
2;Ар4.0;377366,00
2;Ар4.2;357130,00
2;Ариск0;542842,00
2;БК;129538,00
2;Метод;1,00
2;Кф;1,00
2;Лам;546478,00
2;Лат;581727,00
2;Овт;500900,00
2;ПК0;717232,00
2;ПК2;717232,00
2;РР0;17849,00
2;РР2;17849,00
2;ПР0;0,00
2;ПР1;0,00
2;ОПР1;0,00
2;СПР1;0,00
2;ФР1;0,00
2;ОФР1;0,00
2;СФР1;0,00
2;ОПР0;0,00
2;ПР2;0,00
2;ОПР2;0,00
2;СПР2;0,00
2;ФР2;0,00
2;ОФР2;0,00
2;СФР2;0,00
2;СПР0;0,00
2;ФР0;0,00
2;ОФР0;0,00
2;ТР;0,00
2;ОТР;0,00
2;ДТР;0,00
2;ГВР(ТР);0,00
2;ГВР(ВР);0,00
2;ГВР(ПР);0,00
2;ГВР(ФР);0,00
2;СФР0;0,00
2;ВР;1427,93
21;Ар1.0;464013,00
21;Ар1.2;464013,00
21;Ар2.0;7872,00
21;Ар2.2;7872,00
21;Ар4.0;918356,00
21;Ар4.2;918356,00
21;Ариск0;464013,00
21;Метод;1,00
21;Кф;0,93
21;Лам;330673,00
21;Лат;571600,00
21;Овт;872288,00
21;ПК0;297973,00
21;ПК2;297973,00
21;РР0;20310,00
21;РР2;20310,00
21;ПР0;0,00
21;ПР1;0,00
21;ОПР1;0,00
21;СПР1;0,00
21;ФР1;0,00
21;ОФР1;0,00
21;СФР1;0,00
21;ОПР0;0,00
21;ПР2;0,00
21;ОПР2;0,00
21;СПР2;0,00
21;ФР2;0,00
21;ОФР2;0,00
21;СФР2;0,00
21;СПР0;0,00
21;ФР0;0,00
21;ОФР0;0,00
21;ТР;0,00
21;ОТР;0,00
21;ДТР;0,00
21;ГВР(ТР);0,00
21;ГВР(ВР);0,00
21;ГВР(ПР);0,00
21;ГВР(ФР);0,00
21;СФР0;0,00
21;ВР;1624,83
52;Ар1.0;1022603,00
52;Ар1.1;1022603,00
52;Ар1.2;1022603,00
52;Ар2.0;8078,00
52;Ар2.1;8078,00
52;Ар2.2;8078,00
52;Ар4.0;13561663,00
52;Ар4.1;13561539,00
52;Ар4.2;13561539,00
52;Ариск0;1022603,00
52;Метод;1,00
52;Кф;0,96
52;Крд;22611,00
52;Кскр;12953131,00
52;Лам;1087214,00
52;Лат;2584757,00
52;ОД;617772,00
52;Овм;2179874,00
52;Овт;3508329,00
52;ПК0;425660,00
52;ПК1;425660,00
52;ПК2;425660,00
52;ПР0;0,00
52;ПР1;0,00
52;ОПР1;0,00
52;СПР1;0,00
52;ФР1;0,00
52;ОФР1;0,00
52;СФР1;0,00
52;ОПР0;0,00
52;ПР2;0,00
52;ОПР2;0,00
52;СПР2;0,00
52;ФР2;0,00
52;ОФР2;0,00
52;СФР2;0,00
52;СПР0;0,00
52;ФР0;0,00
52;ОФР0;0,00
52;ТР;0,00
52;ОТР;0,00
52;ДТР;0,00
52;ГВР(ТР);0,00
52;ГВР(ВР);0,00
52;ГВР(ПР);0,00
52;ГВР(ФР);0,00
52;СФР0;0,00
52;ВР;0,00
53;Ар1.0;3861881,00
53;Ар1.1;3861881,00
53;Ар1.2;3861881,00
53;Ар2.0;63320,00
53;Ар2.1;63320,00
53;Ар2.2;63320,00
53;Ар4.0;9945945,00
53;Ар4.1;9549924,00
53;Ар4.2;9549924,00
53;Ариск0;3861881,00
53;БК;114925,00
53;Метод;1,00
53;Кф;1,00
53;Крд;1783278,00
53;Кскр;10182070,00
53;Лам;2404456,00
53;Лат;5817206,00
53;ОД;1009930,00
53;Овм;4764360,00
53;Овт;6783393,00
53;ПК0;1218538,00
53;ПК1;1218538,00
53;ПК2;1218538,00
53;РР0;2542368,00
53;РР1;2542368,00
53;РР2;2542368,00
53;ПР0;186107,23
53;ПР1;186107,23
53;ОПР1;73216,77
53;СПР1;112890,46
53;ФР1;10180,68
53;ОФР1;5090,34
53;СФР1;5090,34
53;ОПР0;73216,77
53;ПР2;186107,23
53;ОПР2;73216,77
53;СПР2;112890,46
53;ФР2;10180,68
53;ОФР2;5090,34
53;СФР2;5090,34
53;СПР0;112890,46
53;ФР0;10180,68
53;ОФР0;5090,34
53;СФР0;5090,34
53;ВР;7101,56
65;Ар1.0;4715917,00
65;Ар1.1;4715917,00
65;Ар1.2;4715917,00
65;Ар2.0;177975,00
65;Ар2.1;177975,00
65;Ар2.2;177975,00
65;Ар3.0;10869,00
65;Ар3.1;10869,00
65;Ар3.2;10869,00
65;Ар4.0;20576259,00
65;Ар4.1;20289031,00
65;Ар4.2;20289031,00
65;Ариск0;4715917,00
65;БК;231403,00
65;Метод;1,00
65;Кф;1,02
65;Крд;4320856,00
65;Кскр;9627180,00
65;Лам;8070549,00
65;Лат;21605572,00
65;ОД;12528701,00
65;Овм;16113214,00
65;Овт;17758942,00
65;ПК0;1814691,00
65;ПК1;1814691,00
65;ПК2;1814691,00
65;ПР0;0,00
65;ПР1;0,00
65;ОПР1;0,00
65;СПР1;0,00
65;ФР1;0,00
65;ОФР1;0,00
65;СФР1;0,00
65;ОПР0;0,00
65;ПР2;0,00
65;ОПР2;0,00
65;СПР2;0,00
65;ФР2;0,00
65;ОФР2;0,00
65;СФР2;0,00
65;СПР0;0,00
65;ФР0;0,00
65;ОФР0;0,00
65;ТР;0,00
65;ОТР;0,00
65;ДТР;0,00
65;ГВР(ТР);0,00
65;ГВР(ВР);0,00
65;ГВР(ПР);0,00
65;ГВР(ФР);0,00
65;СФР0;0,00
65;ВР;0,00
67;Ар1.0;4280992,00
67;Ар1.1;4280992,00
67;Ар1.2;4280992,00
67;Ар2.0;209,00
67;Ар2.1;209,00
67;Ар2.2;209,00
67;Ар4.0;8680508,00
67;Ар4.1;8633967,00
67;Ар4.2;8633967,00
67;Ариск0;4280273,00
67;Метод;1,00
67;Кф;1,01
67;Крд;7900845,00
67;Кскр;2591664,00
67;Лам;4637383,00
67;Лат;6488993,00
67;ОД;2779856,00
67;Овм;4609077,00
67;Овт;5053375,00
67;ПК0;3807839,00
67;ПК1;3807839,00
67;ПК2;3807839,00
67;РР0;279213,00
67;РР1;279213,00
67;РР2;279213,00
67;ПР0;2529,00
67;ПР1;2529,00
67;ОПР1;139,00
67;СПР1;2390,00
67;ФР1;714,00
67;ОФР1;357,00
67;СФР1;357,00
67;ОПР0;139,00
67;ПР2;2529,00
67;ОПР2;139,00
67;СПР2;2390,00
67;ФР2;714,00
67;ОФР2;357,00
67;СФР2;357,00
67;СПР0;2390,00
67;ФР0;714,00
67;ОФР0;357,00
67;ТР;0,00
67;ОТР;0,00
67;ДТР;0,00
67;ГВР(ТР);0,00
67;ГВР(ВР);0,00
67;ГВР(ПР);0,00
67;ГВР(ФР);0,00
67;СФР0;357,00
67;ВР;19094,00
77;Ариск0;1955615,00
77;АРБ0;7362,00
77;АРС0;168889,00
77;АРЦК0;162933,00
77;АРпр0;918542,00
77;АРБ1;7362,00
77;АРС1;168889,00
77;АРЦК1;162933,00
77;АРпр1;655388,00
77;АРБ2;7362,00
77;АРС2;168889,00
77;АРЦК2;162933,00
77;АРпр2;655388,00
77;АРФЛ;27331,00
77;АРкорп;6930531,00
77;АРМБР;276,00
77;АРМСП;0,00
77;БК2.0;466639,00
77;БК2.1;466639,00
77;БК2.2;466639,00
77;Метод;2,00
77;ПК2.0;2483513,00
77;ПК2.1;2483513,00
77;ПК2.2;2483513,00
77;Кф;0,99
77;Кинс;0,00
77;Крд;1465299,00
77;КРФмп0;0,00
77;КРФрп0;0,00
77;КРФсп0;0,00
77;КРФмп1;0,00
77;КРФрп1;0,00
77;КРФсп1;0,00
77;КРФмп2;0,00
77;КРФрп2;0,00
